Section,=,Rectangular CFST,,,,,No of test,=,401,,,,,,,,,,,
Load type ,=,Axial compression with eccentrically indunced moments,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,et (mm),eb (mm),Bending Axis,δo (mm),N Test (kN),Notes
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C18-5,150.00,150.00,4.50,2700.00,438.36,490.33,,31.87,,Cyl,125.00,125.00,y-y,,390.30,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C24-1,150.00,150.00,4.50,3600.00,438.36,490.33,,31.87,,Cyl,25.00,25.00,y-y,,705.10,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C24-3,150.00,150.00,4.50,3600.00,438.36,490.33,,31.87,,Cyl,75.00,75.00,y-y,,441.30,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C24-5,150.00,150.00,4.50,3600.00,438.36,490.33,,31.87,,Cyl,125.00,125.00,y-y,,325.58,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C30-1,150.00,150.00,4.50,4500.00,438.36,490.33,,31.87,,Cyl,25.00,25.00,y-y,,588.40,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C30-3,150.00,150.00,4.50,4500.00,438.36,490.33,,31.87,,Cyl,75.00,75.00,y-y,,372.65,
Mark (RCFT_C+PBC),Matsui & Tsuda,1996,[72],C30-5,150.00,150.00,4.50,4500.00,438.36,490.33,,31.87,,Cyl,125.00,125.00,y-y,,276.55,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],M-4-1,130.00,195.00,2.65,780.00,340.10,,,22.00,,Cyl,14.00,14.00,z-z,,872.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],M-4-2,130.00,195.00,2.65,780.00,340.10,,,22.00,,Cyl,14.00,14.00,z-z,,812.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],H-4-1,130.00,195.00,2.65,780.00,340.10,,,22.00,,Cyl,14.00,14.00,z-z,,732.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],H-4-2,130.00,195.00,2.65,780.00,340.10,,,22.00,,Cyl,14.00,14.00,z-z,,740.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],M-5-1,130.00,195.00,2.65,780.00,340.10,,,22.00,,Cyl,31.00,31.00,z-z,,646.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],M-5-2,130.00,195.00,2.65,780.00,340.10,,,22.00,,Cyl,31.00,31.00,z-z,,610.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],H-5-1,130.00,195.00,2.65,780.00,340.10,,,22.00,,Cyl,31.00,31.00,z-z,,500.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],H-5-2,130.00,195.00,2.65,780.00,340.10,,,22.00,,Cyl,31.00,31.00,z-z,,514.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],M-7-1,130.00,195.00,2.65,2340.00,340.10,,,22.00,,Cyl,14.00,14.00,z-z,,670.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],M-7-2,130.00,195.00,2.65,2340.00,340.10,,,22.00,,Cyl,14.00,14.00,z-z,,635.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],H-7-1,130.00,195.00,2.65,2340.00,340.10,,,22.00,,Cyl,14.00,14.00,z-z,,525.00,
Mark (RCFT_C+PBC),Han & Yao,2003a,[15],H-7-2,130.00,195.00,2.65,2340.00,340.10,,,22.00,,Cyl,14.00,14.00,z-z,,500.00,
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],S-2,120.00,120.00,2.65,360.00,340.00,,,20.10,,Cyl,14.00,14.00,y-y,,533.00,
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],SP-2,120.00,120.00,2.65,360.00,340.00,,,20.10,,Cyl,14.00,14.00,y-y,,538.00,PreloadedSteel
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],S-4,120.00,120.00,2.65,360.00,340.00,,,36.00,,Cyl,14.00,14.00,y-y,,600.00,
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],SP-4,120.00,120.00,2.65,360.00,340.00,,,36.00,,Cyl,14.00,14.00,y-y,,622.00,PreloadedSteel
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],SP-5,120.00,120.00,2.65,360.00,340.00,,,36.00,,Cyl,14.00,14.00,y-y,,650.00,PreloadedSteel
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],SP-6,120.00,120.00,2.65,360.00,340.00,,,36.00,,Cyl,31.00,31.00,y-y,,500.00,PreloadedSteel
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],L-1,120.00,120.00,2.65,1400.00,340.00,,,36.00,,Cyl,14.00,14.00,y-y,,590.00,
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],LP-1,120.00,120.00,2.65,1400.00,340.00,,,36.00,,Cyl,14.00,14.00,y-y,,560.00,PreloadedSteel
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],LP-3,120.00,120.00,2.65,1400.00,340.00,,,36.00,,Cyl,14.00,14.00,y-y,,552.00,PreloadedSteel
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],LP-4,120.00,120.00,2.65,1400.00,340.00,,,36.00,,Cyl,31.00,31.00,y-y,,452.00,PreloadedSteel
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],L-5,120.00,120.00,2.65,1400.00,340.00,,,30.00,,Cyl,31.00,31.00,y-y,,412.00,
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],LP-6,120.00,120.00,2.65,1400.00,340.00,,,30.00,,Cyl,31.00,31.00,y-y,,397.00,PreloadedSteel
Mark (RCFT_C+PBC),Han & Yao,2003b,[16],LP-7,120.00,120.00,2.65,1400.00,340.00,,,30.00,,Cyl,31.00,31.00,y-y,,390.00,PreloadedSteel
Mark (RCFT_C+PBC),Mursi & Uy,2003,[57],SL-C110,120.00,120.00,5.00,3020.00,761.00,813.00,,20.34,,Cyl,8.00,8.00,y-y,,1481.00,Tubes had stiffener plates at the member ends
Mark (RCFT_C+PBC),Mursi & Uy,2003,[57],SL-C160,170.00,170.00,5.00,3020.00,761.00,813.00,,20.34,,Cyl,15.00,15.00,y-y,,2126.00,Tubes had stiffener plates at the member ends
Mark (RCFT_C+PBC),Mursi & Uy,2003,[57],SL-C210,220.00,220.00,5.00,3020.00,761.00,813.00,,20.34,,Cyl,18.00,18.00,y-y,,2939.00,Tubes had stiffener plates at the member ends
Mark (RCFT_C+PBC),Mursi & Uy,2003,[57],SL-C260,270.00,270.00,5.00,3020.00,761.00,813.00,,20.34,,Cyl,23.00,23.00,y-y,,3062.00,Tubes had stiffener plates at the member ends
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-A-4-19,149.00,149.00,4.38,648.00,262.00,411.00,,40.50,,Cyl,200.00,200.00,y-y,,267.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-A-4-57,148.00,148.00,4.38,648.00,262.00,411.00,,40.50,,Cyl,45.00,45.00,y-y,,823.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-C-2-25,215.00,215.00,4.38,648.00,262.00,411.00,,25.40,,Cyl,200.00,200.00,y-y,,503.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-C-2-56,214.00,214.00,4.38,648.00,262.00,411.00,,25.40,,Cyl,60.00,60.00,y-y,,1141.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-C-4-21,215.00,215.00,4.38,648.00,262.00,411.00,,40.50,,Cyl,200.00,200.00,y-y,,580.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-C-4-38,215.00,215.00,4.38,648.00,262.00,411.00,,40.50,,Cyl,100.00,100.00,y-y,,1028.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-C-4-51,215.00,215.00,4.38,648.00,262.00,411.00,,40.50,,Cyl,60.00,60.00,y-y,,1369.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-C-8-33,214.00,214.00,4.38,648.00,262.00,411.00,,77.00,,Cyl,100.00,100.00,y-y,,1448.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-C-8-46,215.00,215.00,4.38,648.00,262.00,411.00,,77.00,,Cyl,60.00,60.00,y-y,,2014.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-D-4-27,323.00,323.00,4.38,648.00,262.00,411.00,,40.50,,Cyl,200.00,200.00,y-y,,1479.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER4-D-4-60,323.00,323.00,4.38,648.00,262.00,411.00,,40.50,,Cyl,60.00,60.00,y-y,,3306.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-A-4-22,144.00,144.00,6.36,648.00,618.00,673.00,,40.50,,Cyl,200.00,200.00,y-y,,611.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-A-4-61,144.00,144.00,6.36,648.00,618.00,673.00,,40.50,,Cyl,45.00,45.00,y-y,,1701.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-C-2-58,210.00,210.00,6.36,648.00,618.00,673.00,,25.40,,Cyl,60.00,60.00,y-y,,2393.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-C-4-18,210.00,210.00,6.36,648.00,618.00,673.00,,40.50,,Cyl,300.00,300.00,y-y,,858.00,Weld failure prior to maximum strength
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-C-4-44,210.00,210.00,6.36,648.00,618.00,673.00,,40.50,,Cyl,100.00,100.00,y-y,,2092.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-C-4-57,209.00,209.00,6.36,648.00,618.00,673.00,,40.50,,Cyl,60.00,60.00,y-y,,2694.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-C-8-24,210.00,210.00,6.36,648.00,618.00,673.00,,77.00,,Cyl,200.00,200.00,y-y,,1486.00,Weld failure after maximum strength
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-C-8-54,210.00,210.00,6.36,648.00,618.00,673.00,,77.00,,Cyl,60.00,60.00,y-y,,3396.00,
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-D-4-23,319.00,319.00,6.36,648.00,618.00,673.00,,40.50,,Cyl,300.00,300.00,y-y,,1969.00,Weld failure prior to maximum strength
Mark (RCFT_C+PBC),Fujimoto et al. ,2004,[92],ER6-D-4-47,319.00,319.00,6.36,648.00,618.00,673.00,,40.50,,Cyl,100.00,100.00,y-y,,4045.00,
Mark (RCFT_C+PBC),Han & Yao,2004,[16],lssc2-1,200.00,200.00,3.00,2310.00,303.50,,,58.50,,Cyl,30.00,30.00,y-y,,1450.00,
Mark (RCFT_C+PBC),Han & Yao,2004,[16],lssc2-2,200.00,200.00,3.00,2310.00,303.50,,,58.50,,Cyl,30.00,30.00,y-y,,1415.00,
Mark (RCFT_C+PBC),Han & Yao,2004,[16],lsh2-1,200.00,200.00,3.00,2310.00,303.50,,,58.50,,Cyl,30.00,30.00,y-y,,1502.00,
Mark (RCFT_C+PBC),Han & Yao,2004,[16],lsh2-2,200.00,200.00,3.00,2310.00,303.50,,,58.50,,Cyl,30.00,30.00,y-y,,1535.00,
Mark (RCFT_C+PBC),Han & Yao,2004,[16],lsv2,200.00,200.00,3.00,2310.00,303.50,,,58.50,,Cyl,30.00,30.00,y-y,,1620.00,
Mark (RCFT_C+PBC),Tao et al.,2007,[95],UCFT1-2,200.00,200.00,2.50,1190.00,270.00,346.00,,58.30,,Cyl,30.00,30.00,y-y,,1760.00,
Mark (RCFT_C+PBC),Tao et al.,2007,[95],UCFT1-3,200.00,200.00,2.50,1190.00,270.00,346.00,,58.30,,Cyl,60.00,60.00,y-y,,1130.00,
Mark (RCFT_C+PBC),Tao et al.,2007,[95],UCFT2-2,200.00,200.00,2.50,2340.00,270.00,346.00,,58.30,,Cyl,30.00,30.00,y-y,,1660.00,
Mark (RCFT_C+PBC),Tao et al.,2007,[95],UCFT2-3,200.00,200.00,2.50,2340.00,270.00,346.00,,58.30,,Cyl,60.00,60.00,y-y,,1068.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SA1,150.20,150.20,2.91,1110.00,319.30,,,94.10,,Cyl,1.10,1.10,y-y,,2352.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SA2,149.50,149.50,2.89,2200.00,319.30,,,94.10,,Cyl,3.50,3.50,y-y,,2077.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SA3,148.60,148.60,2.93,3101.00,319.30,,,94.10,,Cyl,2.50,2.50,y-y,,1558.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SA4,151.40,151.40,4.77,1085.00,316.60,,,94.10,,Cyl,1.10,1.10,y-y,,2597.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SA5,150.00,150.00,4.90,2201.00,316.60,,,94.10,,Cyl,2.00,2.00,y-y,,2381.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SA6,150.70,150.70,4.89,3100.00,316.60,,,94.10,,Cyl,3.50,3.50,y-y,,1627.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RA1,175.70,134.90,2.91,993.00,319.30,,,94.10,,Cyl,1.00,1.00,y-y,,2401.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RA2,176.50,136.30,2.91,1980.00,319.30,,,94.10,,Cyl,3.00,3.00,y-y,,2283.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RA3,199.30,124.60,2.92,921.00,319.30,,,94.10,,Cyl,0.90,0.90,y-y,,2636.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RA4,199.90,125.90,2.90,1829.00,319.30,,,94.10,,Cyl,1.50,1.50,y-y,,2303.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SE1,149.40,149.40,2.89,1090.00,319.30,,,94.10,,Cyl,43.00,43.00,y-y,,1147.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SE2,150.40,150.40,2.91,1115.00,319.30,,,94.10,,Cyl,22.00,22.00,y-y,,1597.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SE3,149.80,149.80,2.92,2203.00,319.30,,,94.10,,Cyl,23.50,23.50,y-y,,1274.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SE4,148.30,148.30,2.87,3101.00,319.30,,,94.10,,Cyl,26.00,26.00,y-y,,941.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SE5,152.10,152.10,4.82,1105.00,316.60,,,94.10,,Cyl,41.50,41.50,y-y,,1416.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SE6,150.60,150.60,4.88,1100.00,316.60,,,94.10,,Cyl,21.10,21.10,y-y,,1901.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SE7,150.80,150.80,4.86,2199.00,316.60,,,94.10,,Cyl,21.00,21.00,y-y,,1519.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],SE8,150.40,150.40,4.86,3100.00,316.60,,,94.10,,Cyl,25.50,25.50,y-y,,1103.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RE1,176.20,135.70,2.91,988.00,319.30,,,94.10,,Cyl,20.50,20.50,z-z,,1911.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RE2,173.50,134.10,2.93,989.00,319.30,,,94.10,,Cyl,41.00,41.00,z-z,,1343.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RE3,174.90,134.80,2.93,988.00,319.30,,,94.10,,Cyl,72.00,72.00,z-z,,823.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RE4,174.60,136.40,2.89,1982.00,319.30,,,94.10,,Cyl,21.00,21.00,z-z,,1588.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RE5,176.20,137.20,4.82,990.00,316.60,,,94.10,,Cyl,20.00,20.00,z-z,,2058.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RE6,175.10,137.20,4.83,1980.00,316.60,,,94.10,,Cyl,22.00,22.00,z-z,,1813.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RE7,200.50,125.00,2.92,919.00,319.30,,,94.10,,Cyl,21.00,21.00,z-z,,1529.00,
Mark (RCFT_C+PBC),Zhang & Guo,2007,[96],RE8,201.40,125.10,2.90,1831.00,319.30,,,94.10,,Cyl,38.00,38.00,z-z,,1548.00,
Mark (RCFT_C+PBC),Yu et al.,2008,[81],S150-3,100.00,100.00,1.90,1500.00,404.00,,,121.60,,Cyl,15.00,15.00,y-y,,559.00,
Mark (RCFT_C+PBC),Yu et al.,2008,[81],S150-4,100.00,100.00,1.90,1500.00,404.00,,,121.60,,Cyl,15.00,15.00,y-y,,660.00,
Mark (RCFT_C+PBC),Yu et al.,2008,[81],S150-5,100.00,100.00,1.90,1500.00,404.00,,,121.60,,Cyl,30.00,30.00,y-y,,395.00,
Mark (RCFT_C+PBC),Yu et al.,2008,[81],S150-6,100.00,100.00,1.90,1500.00,404.00,,,121.60,,Cyl,30.00,30.00,y-y,,390.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_2_90.275_20.-10a,100.00,100.00,4.00,2135.00,371.39,,,93.03,,Cyl,20.00,-10.00,y-y,,758.50,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_2_90.275_50.50,100.00,100.00,4.00,2135.00,358.29,,,91.44,,Cyl,50.00,50.00,y-y,,321.12,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_2_90.275_50.50a,100.00,100.00,4.00,2135.00,371.39,,,93.02,,Cyl,50.00,50.00,y-y,,323.15,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_3_90.275_20.-10,100.00,100.00,4.00,3135.00,353.23,,,97.67,,Cyl,20.00,-10.00,y-y,,502.88,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_3_90.275_20.00,100.00,100.00,4.00,3135.00,363.27,,,92.97,,Cyl,20.00,0.00,y-y,,410.40,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_3_90.275_20.10,100.00,100.00,4.00,3135.00,280.00,,,86.95,,Cyl,20.00,10.00,y-y,,363.61,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_3_90.275_20.20,100.00,100.00,4.00,3135.00,375.77,,,74.42,,Cyl,20.00,20.00,y-y,,381.47,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_3_90.275_50.-25,100.00,100.00,4.00,3135.00,358.28,,,96.42,,Cyl,50.00,-25.00,y-y,,357.35,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_3_90.275_50.00,100.00,100.00,4.00,3135.00,346.28,,,92.14,,Cyl,50.00,0.00,y-y,,316.24,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_3_90.275_50.25,100.00,100.00,4.00,3135.00,358.29,,,90.43,,Cyl,50.00,25.00,y-y,,218.65,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_3_90.275_50.50,100.00,100.00,4.00,3135.00,292.70,,,87.30,,Cyl,50.00,50.00,y-y,,230.31,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_4_90.275_20.-10,100.00,100.00,4.00,4135.00,280.00,,,88.28,,Cyl,20.00,-10.00,y-y,,367.76,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_4_90.275_20.10,100.00,100.00,4.00,4135.00,280.00,,,96.89,,Cyl,20.00,10.00,y-y,,254.93,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_4_90.275_20.20,100.00,100.00,4.00,4135.00,280.00,,,94.99,,Cyl,20.00,20.00,y-y,,220.33,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],S100.100.4_4_90.275_50.25,100.00,100.00,4.00,4135.00,369.30,,,92.31,,Cyl,50.00,25.00,y-y,,184.33,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_2_90.275_50.50,150.00,100.00,4.00,2135.00,341.86,,,77.38,,Cyl,50.00,50.00,z-z,,466.38,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_20.-10,150.00,100.00,4.00,3135.00,280.00,,,91.39,,Cyl,20.00,-10.00,z-z,,690.02,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_20.00,150.00,100.00,4.00,3135.00,280.00,,,84.00,,Cyl,20.00,0.00,z-z,,562.03,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_20.10,150.00,100.00,4.00,3135.00,342.06,,,89.20,,Cyl,20.00,10.00,z-z,,501.48,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_20.20,150.00,100.00,4.00,3135.00,298.50,,,84.47,,Cyl,20.00,20.00,z-z,,460.83,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_50.-25,150.00,100.00,4.00,3135.00,308.46,,,92.26,,Cyl,50.00,-25.00,z-z,,502.81,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_50.00,150.00,100.00,4.00,3135.00,362.79,,,91.59,,Cyl,50.00,0.00,z-z,,430.95,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_50.25,150.00,100.00,4.00,3135.00,312.31,,,91.65,,Cyl,50.00,25.00,z-z,,287.38,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.4_3_90.275_50.50,150.00,100.00,4.00,3135.00,341.86,,,89.69,,Cyl,50.00,50.00,z-z,,309.60,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_20.-10,150.00,100.00,5.00,3135.00,336.27,,,91.69,,Cyl,20.00,-10.00,z-z,,692.62,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_20.00,150.00,100.00,5.00,3135.00,370.39,,,79.72,,Cyl,20.00,0.00,z-z,,690.80,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_20.10,150.00,100.00,5.00,3135.00,424.50,,,85.19,,Cyl,20.00,10.00,z-z,,622.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_20.20,150.00,100.00,5.00,3135.00,459.82,,,91.04,,Cyl,20.00,20.00,z-z,,573.32,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_50.-25,150.00,100.00,5.00,3135.00,306.38,,,85.06,,Cyl,50.00,-25.00,z-z,,548.45,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_50.00,150.00,100.00,5.00,3135.00,396.01,,,87.39,,Cyl,50.00,0.00,z-z,,456.38,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_50.25,150.00,100.00,5.00,3135.00,332.97,,,91.26,,Cyl,50.00,25.00,z-z,,328.50,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012a,[97],R100.150.5_3_90.275_50.50,150.00,100.00,5.00,3135.00,368.09,,,82.54,,Cyl,50.00,50.00,z-z,,381.06,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_20.20,100.00,100.00,4.00,2135.00,357.70,,,88.30,,Cyl,20.00,20.00,y-y,,490.70,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_20.20,100.00,100.00,4.00,2135.00,292.70,,,36.40,,Cyl,20.00,20.00,y-y,,380.80,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_90.275_20.20,150.00,100.00,4.00,2135.00,298.50,,,86.40,,Cyl,20.00,20.00,y-y,,804.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_20.20,150.00,100.00,4.00,2135.00,312.30,,,30.70,,Cyl,20.00,20.00,y-y,,535.80,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_20.20,150.00,100.00,5.00,2135.00,459.80,,,83.00,,Cyl,20.00,20.00,y-y,,935.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_30.275_20.20,150.00,100.00,5.00,2135.00,332.90,,,32.80,,Cyl,20.00,20.00,y-y,,605.60,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_50.50,100.00,100.00,4.00,2135.00,358.20,,,91.40,,Cyl,50.00,50.00,y-y,,321.10,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_50.50,100.00,100.00,4.00,2135.00,346.20,,,35.00,,Cyl,50.00,50.00,y-y,,244.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_50.50,150.00,100.00,5.00,2135.00,336.20,,,92.70,,Cyl,50.00,50.00,y-y,,458.50,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_50.50,150.00,100.00,4.00,2135.00,362.70,,,31.40,,Cyl,50.00,50.00,y-y,,356.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_90.275_50.50,150.00,100.00,5.00,2135.00,368.00,,,84.00,,Cyl,50.00,50.00,y-y,,528.10,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.5_30.275_50.50,150.00,100.00,5.00,2135.00,396.00,,,26.10,,Cyl,50.00,50.00,y-y,,395.00,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_90.275_20.10,100.00,100.00,4.00,2135.00,280.00,,,93.90,,Cyl,20.00,10.00,y-y,,525.70,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],S100.100.4_30.275_20.10,100.00,100.00,4.00,2135.00,353.20,,,37.10,,Cyl,20.00,10.00,y-y,,457.30,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_90.275_20.10,150.00,100.00,4.00,2135.00,342.00,,,90.40,,Cyl,20.00,10.00,y-y,,850.90,
Mark (RCFT_C+PBC),Hernandez-Figueirido et al.,2012b,[98],R100.150.4_30.275_20.10,150.00,100.00,4.00,2135.00,280.00,,,31.00,,Cyl,20.00,10.00,y-y,,591.70,
