Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm),fy (MPa),fc (MPa),L (mm),Pno ANN (kN)
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,800,55,4000,187.7943
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,240,65,4000,216.71579
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,240,65,4000,90.49648
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,800,65,4500,171.88565
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,240,55,2750,376.5548
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,35,3250,190.4387
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,240,55,4250,289.69492
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,420,45,4250,208.841
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,45,4250,228.08115
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,600,35,4250,153.23615
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,420,65,4250,431.14465
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,240,75,3000,449.29193
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,800,45,3250,241.89038
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,240,55,2750,224.1063
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,45,3750,203.28467
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,35,4250,210.6976
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,35,3500,214.77434
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,65,3500,286.41876
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,420,35,4500,267.2551
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,420,35,4500,178.37769
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,420,65,2750,402.85376
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,800,35,3750,1.9032733
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,420,35,3500,442.46606
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,600,55,4500,210.02951
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,600,35,2500,334.22733
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,800,35,2500,236.41025
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,65,4000,257.92572
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,420,75,3250,568.2264
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,65,3750,253.9003
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,600,45,4250,175.36493
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,240,75,4000,96.902374
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,35,2500,234.42813
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,420,55,4500,279.08575
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,800,65,4500,141.58318
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,55,4000,254.87196
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,55,2500,288.64395
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,800,35,3750,197.47937
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,240,65,3750,226.93555
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,600,75,4500,251.02707
