Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm),fy (MPa),fc (MPa),L (mm),Pno ANN (kN)
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,420,75,2500,600.11127
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,45,4000,234.61719
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,45,4500,210.50998
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,600,75,3750,312.5741
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,800,45,4250,207.5718
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,600,75,3250,365.67963
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,55,2500,284.93268
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,420,75,3500,441.80743
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,420,65,3000,586.16644
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,420,35,3000,489.5807
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,800,75,3500,291.7807
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,600,75,3250,341.44717
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,420,75,3500,305.92706
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,420,45,2500,401.23944
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,600,55,3250,265.44165
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,800,75,4000,204.00461
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,600,75,3000,396.3056
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,420,65,4250,314.39902
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,800,75,3500,264.47565
R_HSS,HSS88.9X63.5X7.9,15.6,1900.0,88.9,63.5,7.94,7.39,420,75,4500,181.96109
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,600,75,4250,266.20795
R_HSS,HSS88.9X88.9X6.4,15.6,1880.0,88.9,88.9,6.35,5.92,240,75,4500,168.25458
R_HSS,HSS101.6X76.2X6.4,15.6,1880.0,102.0,76.2,6.35,5.92,240,45,3500,204.26932
R_HSS,HSS127X50.8X6.4,15.6,1880.0,127.0,50.8,6.35,5.92,240,75,4250,351.86816
