Type,AISC_Manual_Label,W,As (mm2),h (mm),b (mm),t (mm),tdes (mm)
R_HSS,HSS355.6X254X12.7,113,13500,356,254,12.7,11.8
R_HSS,HSS355.6X254X9.5,86.4,10300,356,254,9.53,8.86
R_HSS,HSS355.6X254X7.9,72.7,8650,356,254,7.94,7.39
R_HSS,HSS355.6X254X6.4,58.7,6970,356,254,6.35,5.92
R_HSS,HSS355.6X152.4X15.9,113,13500,356,152,15.9,14.8
R_HSS,HSS355.6X152.4X12.7,92.7,11100,356,152,12.7,11.8
R_HSS,HSS355.6X152.4X9.5,71.2,8520,356,152,9.53,8.86
R_HSS,HSS355.6X152.4X7.9,60.0,7160,356,152,7.94,7.39
R_HSS,HSS355.6X152.4X6.4,48.6,5780,356,152,6.35,5.92
R_HSS,HSS355.6X152.4X4.8,36.7,4360,356,152,4.76,4.42
R_HSS,HSS355.6X101.6X15.9,101,12100,356,102,15.9,14.8
R_HSS,HSS355.6X101.6X12.7,82.6,9870,356,102,12.7,11.8
R_HSS,HSS355.6X101.6X9.5,63.6,7610,356,102,9.53,8.86
R_HSS,HSS355.6X101.6X7.9,53.7,6400,356,102,7.94,7.39
R_HSS,HSS355.6X101.6X6.4,43.5,5180,356,102,6.35,5.92
R_HSS,HSS355.6X101.6X4.8,32.9,3910,356,102,4.76,4.42
R_HSS,HSS304.8X304.8X19,164,19500,305,305,19.1,17.7
R_HSS,HSS304.8X304.8X15.9,139,16600,305,305,15.9,14.8
R_HSS,HSS304.8X304.8X12.7,113,13500,305,305,12.7,11.8
R_HSS,HSS304.8X304.8X9.5,86.3,10300,305,305,9.53,8.86
R_HSS,HSS304.8X304.8X7.9,72.6,8650,305,305,7.94,7.39
R_HSS,HSS304.8X304.8X6.4,58.6,6970,305,305,6.35,5.92
R_HSS,HSS304.8X304.8X4.8,44.4,5260,305,305,4.76,4.42
R_HSS,HSS304.8X254X12.7,103,12300,305,254,12.7,11.8
R_HSS,HSS304.8X254X9.5,78.8,9420,305,254,9.53,8.86
R_HSS,HSS304.8X254X7.9,66.4,7870,305,254,7.94,7.39
R_HSS,HSS304.8X254X6.4,53.6,6390,305,254,6.35,5.92
R_HSS,HSS304.8X203.2X15.9,113,13500,305,203,15.9,14.8
R_HSS,HSS304.8X203.2X12.7,92.7,11100,305,203,12.7,11.8
R_HSS,HSS304.8X203.2X9.5,71.2,8520,305,203,9.53,8.86
R_HSS,HSS304.8X203.2X7.9,60.1,7160,305,203,7.94,7.39
R_HSS,HSS304.8X203.2X6.4,48.5,5780,305,203,6.35,5.92
R_HSS,HSS304.8X203.2X4.8,36.9,4360,305,203,4.77,4.42
R_HSS,HSS304.8X152.4X15.9,101,12100,305,152,15.9,14.8
R_HSS,HSS304.8X152.4X12.7,82.6,9870,305,152,12.7,11.8
R_HSS,HSS304.8X152.4X9.5,63.6,7610,305,152,9.53,8.86
R_HSS,HSS304.8X152.4X7.9,53.7,6400,305,152,7.94,7.39
R_HSS,HSS304.8X152.4X6.4,43.4,5180,305,152,6.35,5.92
R_HSS,HSS304.8X152.4X4.8,33.1,3910,305,152,4.76,4.42
R_HSS,HSS304.8X101.6X15.9,88.0,10600,305,102,15.9,14.8
R_HSS,HSS304.8X101.6X12.7,72.5,8710,305,102,12.7,11.8
R_HSS,HSS304.8X101.6X9.5,56.0,6710,305,102,9.53,8.86
R_HSS,HSS304.8X101.6X7.9,47.4,5650,305,102,7.94,7.39
R_HSS,HSS304.8X101.6X6.4,38.4,4580,305,102,6.35,5.92
R_HSS,HSS304.8X101.6X4.8,29.3,3460,305,102,4.76,4.42
R_HSS,HSS304.8X88.9X9.5,54.1,6450,305,88.9,9.53,8.86
R_HSS,HSS304.8X88.9X7.9,45.8,5460,305,88.9,7.94,7.39
R_HSS,HSS304.8X76.2X7.9,44.2,5270,305,76.2,7.94,7.39
R_HSS,HSS304.8X76.2X6.4,35.8,4280,305,76.2,6.35,5.92
R_HSS,HSS304.8X76.2X4.8,27.4,3240,305,76.2,4.76,4.42
R_HSS,HSS304.8X50.8X7.9,41.0,4900,305,50.8,7.94,7.39
R_HSS,HSS304.8X50.8X6.4,33.3,3980,305,50.8,6.35,5.92
R_HSS,HSS304.8X50.8X4.8,25.4,3010,305,50.8,4.76,4.42
R_HSS,HSS254X254X19,133,15900,254,254,19.1,17.7
R_HSS,HSS254X254X15.9,113,13500,254,254,15.9,14.8
R_HSS,HSS254X254X12.7,92.7,11100,254,254,12.7,11.8
R_HSS,HSS254X254X9.5,71.2,8520,254,254,9.53,8.86
R_HSS,HSS254X254X7.9,60.0,7160,254,254,7.94,7.39
R_HSS,HSS254X254X6.4,48.5,5780,254,254,6.35,5.92
R_HSS,HSS254X254X4.8,36.8,4360,254,254,4.76,4.42
R_HSS,HSS254X203.2X15.9,101,12100,254,203,15.9,14.8
R_HSS,HSS254X203.2X12.7,82.6,9870,254,203,12.7,11.8
R_HSS,HSS254X203.2X9.5,63.6,7610,254,203,9.53,8.86
R_HSS,HSS254X203.2X7.9,53.7,6400,254,203,7.94,7.39
R_HSS,HSS254X203.2X6.4,43.4,5180,254,203,6.35,5.92
R_HSS,HSS254X203.2X4.8,33.1,3910,254,203,4.76,4.42
R_HSS,HSS254X152.4X15.9,88.0,10600,254,152,15.9,14.8
R_HSS,HSS254X152.4X12.7,72.5,8710,254,152,12.7,11.8
R_HSS,HSS254X152.4X9.5,56.0,6710,254,152,9.53,8.86
R_HSS,HSS254X152.4X7.9,47.4,5650,254,152,7.94,7.39
R_HSS,HSS254X152.4X6.4,38.4,4580,254,152,6.35,5.92
R_HSS,HSS254X152.4X4.8,29.3,3460,254,152,4.76,4.42
R_HSS,HSS254X127X9.5,52.2,6240,254,127,9.53,8.86
R_HSS,HSS254X127X7.9,44.2,5270,254,127,7.94,7.39
R_HSS,HSS254X127X6.4,35.8,4280,254,127,6.35,5.92
R_HSS,HSS254X127X4.8,27.4,3240,254,127,4.76,4.42
R_HSS,HSS254X101.6X15.9,75.3,9030,254,102,15.9,14.8
R_HSS,HSS254X101.6X12.7,62.4,7480,254,102,12.7,11.8
R_HSS,HSS254X101.6X9.5,48.4,5790,254,102,9.53,8.86
R_HSS,HSS254X101.6X7.9,41.0,4900,254,102,7.94,7.39
R_HSS,HSS254X101.6X6.4,33.3,3980,254,102,6.35,5.92
R_HSS,HSS254X101.6X4.8,25.4,3010,254,102,4.76,4.42
R_HSS,HSS254X101.6X3.2,17.2,2040,254,102,3.18,2.95
R_HSS,HSS254X88.9X12.7,59.8,7160,254,88.9,12.7,11.8
R_HSS,HSS254X88.9X9.5,46.5,5560,254,88.9,9.53,8.86
R_HSS,HSS254X88.9X7.9,39.5,4710,254,88.9,7.94,7.39
R_HSS,HSS254X88.9X6.4,32.0,3830,254,88.9,6.35,5.92
R_HSS,HSS254X88.9X4.8,24.5,2900,254,88.9,4.76,4.42
R_HSS,HSS254X88.9X3.2,16.6,1960,254,88.9,3.18,2.95
R_HSS,HSS254X76.2X9.5,44.6,5340,254,76.2,9.53,8.86
R_HSS,HSS254X76.2X7.9,37.9,4520,254,76.2,7.94,7.39
R_HSS,HSS254X76.2X6.4,30.8,3680,254,76.2,6.35,5.92
R_HSS,HSS254X76.2X4.8,23.5,2790,254,76.2,4.76,4.42
R_HSS,HSS254X76.2X3.2,15.9,1890,254,76.2,3.18,2.95
R_HSS,HSS254X50.8X9.5,40.8,4890,254,50.8,9.53,8.86
R_HSS,HSS254X50.8X7.9,34.7,4150,254,50.8,7.94,7.39
R_HSS,HSS254X50.8X6.4,28.3,3380,254,50.8,6.35,5.92
R_HSS,HSS254X50.8X4.8,21.6,2570,254,50.8,4.76,4.42
R_HSS,HSS254X50.8X3.2,14.7,1740,254,50.8,3.18,2.95
R_HSS,HSS228.6X228.6X15.9,101,12100,229,229,15.9,14.8
R_HSS,HSS228.6X228.6X12.7,82.6,9870,229,229,12.7,11.8
R_HSS,HSS228.6X228.6X9.5,63.6,7610,229,229,9.53,8.86
R_HSS,HSS228.6X228.6X7.9,53.6,6400,229,229,7.94,7.39
R_HSS,HSS228.6X228.6X6.4,43.4,5180,229,229,6.35,5.92
R_HSS,HSS228.6X228.6X74.8,33.0,3910,229,229,4.76,4.42
R_HSS,HSS228.6X228.6X3.2,22.3,2640,229,229,3.18,2.95
R_HSS,HSS228.6X177.8X15.9,88.0,10600,229,178,15.9,14.8
R_HSS,HSS228.6X177.8X12.7,72.5,8710,229,178,12.7,11.8
R_HSS,HSS228.6X177.8X9.5,56.0,6710,229,178,9.53,8.86
R_HSS,HSS228.6X177.8X7.9,47.4,5650,229,178,7.94,7.39
R_HSS,HSS228.6X177.8X6.4,38.4,4580,229,178,6.35,5.92
R_HSS,HSS228.6X177.8X4.8,29.3,3460,229,178,4.76,4.42
R_HSS,HSS228.6X127X15.9,75.3,9030,229,127,15.9,14.8
R_HSS,HSS228.6X127X12.7,62.4,7480,229,127,12.7,11.8
R_HSS,HSS228.6X127X9.5,48.4,5790,229,127,9.53,8.86
R_HSS,HSS228.6X127X7.9,41.0,4900,229,127,7.94,7.39
R_HSS,HSS228.6X127X6.4,33.3,3980,229,127,6.35,5.92
R_HSS,HSS228.6X127X4.8,25.4,3010,229,127,4.76,4.42
R_HSS,HSS228.6X76.2X12.7,52.2,6280,229,76.2,12.7,11.8
R_HSS,HSS228.6X76.2X9.5,40.8,4890,229,76.2,9.53,8.86
R_HSS,HSS228.6X76.2X7.9,34.7,4150,229,76.2,7.94,7.39
R_HSS,HSS228.6X76.2X6.4,28.3,3380,229,76.2,6.35,5.92
R_HSS,HSS228.6X76.2X4.8,21.6,2570,229,76.2,4.76,4.42
R_HSS,HSS203.2X203.2X15.9,88.0,10600,203,203,15.9,14.8
R_HSS,HSS203.2X203.2X12.7,72.5,8710,203,203,12.7,11.8
R_HSS,HSS203.2X203.2X9.5,56.0,6710,203,203,9.53,8.86
R_HSS,HSS203.2X203.2X7.9,47.3,5650,203,203,7.94,7.39
R_HSS,HSS203.2X203.2X6.4,38.4,4580,203,203,6.35,5.92
R_HSS,HSS203.2X203.2X4.8,29.2,3460,203,203,4.76,4.42
R_HSS,HSS203.2X203.2X3.2,19.7,2340,203,203,3.18,2.95
R_HSS,HSS203.2X152.4X15.9,75.3,9030,203,152,15.9,14.8
R_HSS,HSS203.2X152.4X12.7,62.4,7480,203,152,12.7,11.8
R_HSS,HSS203.2X152.4X9.5,48.4,5790,203,152,9.53,8.86
R_HSS,HSS203.2X152.4X7.9,41.0,4900,203,152,7.94,7.39
R_HSS,HSS203.2X152.4X6.4,33.3,3980,203,152,6.35,5.92
R_HSS,HSS203.2X152.4X4.8,25.4,3010,203,152,4.76,4.42
R_HSS,HSS203.2X101.6X15.9,62.6,7550,203,102,15.9,14.8
R_HSS,HSS203.2X101.6X12.7,52.2,6280,203,102,12.7,11.8
R_HSS,HSS203.2X101.6X9.5,40.8,4890,203,102,9.53,8.86
R_HSS,HSS203.2X101.6X7.9,34.7,4150,203,102,7.94,7.39
R_HSS,HSS203.2X101.6X6.4,28.3,3380,203,102,6.35,5.92
R_HSS,HSS203.2X101.6X4.8,21.6,2570,203,102,4.76,4.42
R_HSS,HSS203.2X101.6X3.2,14.7,1740,203,102,3.18,2.95
R_HSS,HSS203.2X76.2X12.7,47.2,5680,203,76.2,12.7,11.8
R_HSS,HSS203.2X76.2X9.5,37.0,4440,203,76.2,9.53,8.86
R_HSS,HSS203.2X76.2X7.9,31.5,3770,203,76.2,7.94,7.39
R_HSS,HSS203.2X76.2X6.4,25.7,3080,203,76.2,6.35,5.92
R_HSS,HSS203.2X76.2X4.8,19.7,2340,203,76.2,4.76,4.42
R_HSS,HSS203.2X76.2X3.2,13.4,1590,203,76.2,3.18,2.95
R_HSS,HSS203.2X50.8X9.5,33.2,3990,203,50.8,9.53,8.86
R_HSS,HSS203.2X50.8X7.9,28.4,3390,203,50.8,7.94,7.39
R_HSS,HSS203.2X50.8X6.4,23.2,2770,203,50.8,6.35,5.92
R_HSS,HSS203.2X50.8X4.8,17.8,2120,203,50.8,4.76,4.42
R_HSS,HSS203.2X50.8X3.2,12.1,1440,203,50.8,3.18,2.95
R_HSS,HSS177.8X177.8X15.9,75.3,9030,178,178,15.9,14.8
R_HSS,HSS177.8X177.8X12.7,62.4,7480,178,178,12.7,11.8
R_HSS,HSS177.8X177.8X9.5,48.4,5790,178,178,9.53,8.86
R_HSS,HSS177.8X177.8X7.9,41.0,4900,178,178,7.94,7.39
R_HSS,HSS177.8X177.8X6.4,33.3,3980,178,178,6.35,5.92
R_HSS,HSS177.8X177.8X4.8,25.4,3010,178,178,4.76,4.42
R_HSS,HSS177.8X177.8X3.2,17.2,2040,178,178,3.18,2.95
R_HSS,HSS177.8X127X12.7,52.2,6280,178,127,12.7,11.8
R_HSS,HSS177.8X127X9.5,40.8,4890,178,127,9.53,8.86
R_HSS,HSS177.8X127X7.9,34.7,4150,178,127,7.94,7.39
R_HSS,HSS177.8X127X6.4,28.3,3380,178,127,6.35,5.92
R_HSS,HSS177.8X127X4.8,21.6,2570,178,127,4.76,4.42
R_HSS,HSS177.8X127X3.2,14.7,1740,178,127,3.18,2.95
R_HSS,HSS177.8X101.6X12.7,47.2,5680,178,102,12.7,11.8
R_HSS,HSS177.8X101.6X9.5,37.0,4440,178,102,9.53,8.86
R_HSS,HSS177.8X101.6X7.9,31.5,3770,178,102,7.94,7.39
R_HSS,HSS177.8X101.6X6.4,25.7,3080,178,102,6.35,5.92
R_HSS,HSS177.8X101.6X4.8,19.7,2340,178,102,4.76,4.42
R_HSS,HSS177.8X101.6X3.2,13.4,1590,178,102,3.18,2.95
R_HSS,HSS177.8X76.2X12.7,42.1,5080,178,76.2,12.7,11.8
R_HSS,HSS177.8X76.2X9.5,33.2,3990,178,76.2,9.53,8.86
R_HSS,HSS177.8X76.2X7.9,28.4,3390,178,76.2,7.94,7.39
R_HSS,HSS177.8X76.2X6.4,23.2,2770,178,76.2,6.35,5.92
R_HSS,HSS177.8X76.2X4.8,17.8,2120,178,76.2,4.76,4.42
R_HSS,HSS177.8X76.2X3.2,12.1,1440,178,76.2,3.18,2.95
R_HSS,HSS177.8X50.8X6.4,20.7,2480,178,50.8,6.35,5.92
R_HSS,HSS177.8X50.8X4.8,15.9,1890,178,50.8,4.76,4.42
R_HSS,HSS177.8X50.8X3.2,10.9,1290,178,50.8,3.18,2.95
R_HSS,HSS152.4X152.4X15.9,62.6,7550,152,152,15.9,14.8
R_HSS,HSS152.4X152.4X12.7,52.2,6280,152,152,12.7,11.8
R_HSS,HSS152.4X152.4X9.5,40.8,4890,152,152,9.53,8.86
R_HSS,HSS152.4X152.4X7.9,34.6,4150,152,152,7.94,7.39
R_HSS,HSS152.4X152.4X6.4,28.3,3380,152,152,6.35,5.92
R_HSS,HSS152.4X152.4X4.8,21.6,2570,152,152,4.76,4.42
R_HSS,HSS152.4X152.4X3.2,14.7,1740,152,152,3.18,2.95
R_HSS,HSS152.4X127X12.7,47.2,5680,152,127,12.7,11.8
R_HSS,HSS152.4X127X9.5,37.0,4440,152,127,9.53,8.86
R_HSS,HSS152.4X127X7.9,31.5,3770,152,127,7.94,7.39
R_HSS,HSS152.4X127X6.4,25.7,3080,152,127,6.35,5.92
R_HSS,HSS152.4X127X4.8,19.7,2340,152,127,4.76,4.42
R_HSS,HSS152.4X127X3.2,13.4,1590,152,127,3.18,2.95
R_HSS,HSS152.4X101.6X12.7,42.1,5080,152,102,12.7,11.8
R_HSS,HSS152.4X101.6X9.5,33.2,3990,152,102,9.53,8.86
R_HSS,HSS152.4X101.6X7.9,28.4,3390,152,102,7.94,7.39
R_HSS,HSS152.4X101.6X6.4,23.2,2770,152,102,6.35,5.92
R_HSS,HSS152.4X101.6X4.8,17.8,2120,152,102,4.76,4.42
R_HSS,HSS152.4X101.6X3.2,12.1,1440,152,102,3.18,2.95
R_HSS,HSS152.4X76.2X12.7,37.1,4480,152,76.2,12.7,11.8
R_HSS,HSS152.4X76.2X9.5,29.4,3540,152,76.2,9.53,8.86
R_HSS,HSS152.4X76.2X7.9,25.2,3020,152,76.2,7.94,7.39
R_HSS,HSS152.4X76.2X6.4,20.7,2480,152,76.2,6.35,5.92
R_HSS,HSS152.4X76.2X4.8,15.9,1890,152,76.2,4.76,4.42
R_HSS,HSS152.4X76.2X3.2,10.9,1290,152,76.2,3.18,2.95
R_HSS,HSS152.4X50.8X9.5,25.6,3080,152,50.8,9.53,8.86
R_HSS,HSS152.4X50.8X7.9,22.0,2650,152,50.8,7.94,7.39
R_HSS,HSS152.4X50.8X6.4,18.1,2170,152,50.8,6.35,5.92
R_HSS,HSS152.4X50.8X4.8,14.0,1660,152,50.8,4.76,4.42
R_HSS,HSS152.4X50.8X3.2,9.59,1140,152,50.8,3.18,2.95
R_HSS,HSS139.7X139.7X9.5,37.0,4440,140,140,9.53,8.86
R_HSS,HSS139.7X139.7X7.9,31.5,3770,140,140,7.94,7.39
R_HSS,HSS139.7X139.7X6.4,25.7,3080,140,140,6.35,5.92
R_HSS,HSS139.7X139.7X4.8,19.7,2340,140,140,4.76,4.42
R_HSS,HSS139.7X139.7X3.2,13.4,1590,140,140,3.18,2.95
R_HSS,HSS127X127X12.7,42.1,5080,127,127,12.7,11.8
R_HSS,HSS127X127X9.5,33.2,3990,127,127,9.53,8.86
R_HSS,HSS127X127X7.9,28.3,3390,127,127,7.94,7.39
R_HSS,HSS127X127X6.4,23.2,2770,127,127,6.35,5.92
R_HSS,HSS127X127X4.8,17.8,2120,127,127,4.76,4.42
R_HSS,HSS127X127X3.2,12.1,1440,127,127,3.18,2.95
R_HSS,HSS127X101.6X12.7,37.1,4480,127,102,12.7,11.8
R_HSS,HSS127X101.6X9.5,29.4,3540,127,102,9.53,8.86
R_HSS,HSS127X101.6X7.9,25.2,3020,127,102,7.94,7.39
R_HSS,HSS127X101.6X6.4,20.7,2480,127,102,6.35,5.92
R_HSS,HSS127X101.6X4.8,15.9,1890,127,102,4.76,4.42
R_HSS,HSS127X101.6X3.2,10.9,1290,127,102,3.18,2.95
R_HSS,HSS127X76.2X12.7,32.0,3880,127,76.2,12.7,11.8
R_HSS,HSS127X76.2X9.5,25.6,3080,127,76.2,9.53,8.86
R_HSS,HSS127X76.2X7.9,22.0,2650,127,76.2,7.94,7.39
R_HSS,HSS127X76.2X6.4,18.1,2170,127,76.2,6.35,5.92
R_HSS,HSS127X76.2X4.8,14.0,1660,127,76.2,4.76,4.42
R_HSS,HSS127X76.2X3.2,9.59,1140,127,76.2,3.18,2.95
R_HSS,HSS127X63.5X6.4,16.9,2030,127,63.5,6.35,5.92
R_HSS,HSS127X63.5X4.8,13.1,1550,127,63.5,4.76,4.42
R_HSS,HSS127X63.5X3.2,8.96,1060,127,63.5,3.18,2.95
R_HSS,HSS127X50.8X9.5,21.8,2640,127,50.8,9.53,8.86
R_HSS,HSS127X50.8X7.9,18.8,2270,127,50.8,7.94,7.39
R_HSS,HSS127X50.8X6.4,15.6,1880,127,50.8,6.35,5.92
R_HSS,HSS127X50.8X4.8,12.1,1450,127,50.8,4.76,4.42
R_HSS,HSS127X50.8X3.2,8.33,994,127,50.8,3.18,2.95
R_HSS,HSS114.3X114.3X12.7,37.1,4480,114,114,12.7,11.8
R_HSS,HSS114.3X114.3X9.5,29.4,3540,114,114,9.53,8.86
R_HSS,HSS114.3X114.3X7.9,25.2,3020,114,114,7.94,7.39
R_HSS,HSS114.3X114.3X6.4,20.7,2480,114,114,6.35,5.92
R_HSS,HSS114.3X114.3X4.8,15.9,1890,114,114,4.76,4.42
R_HSS,HSS114.3X114.3X3.2,10.9,1290,114,114,3.18,2.95
R_HSS,HSS101.6X101.6X12.7,32.0,3880,102,102,12.7,11.8
R_HSS,HSS101.6X101.6X9.5,25.6,3080,102,102,9.53,8.86
R_HSS,HSS101.6X101.6X7.9,22.0,2650,102,102,7.94,7.39
R_HSS,HSS101.6X101.6X6.4,18.1,2170,102,102,6.35,5.92
R_HSS,HSS101.6X101.6X4.8,14.0,1660,102,102,4.76,4.42
R_HSS,HSS101.6X101.6X3.2,9.59,1140,102,102,3.18,2.95
R_HSS,HSS101.6X76.2X9.5,21.8,2640,102,76.2,9.53,8.86
R_HSS,HSS101.6X76.2X7.9,18.8,2270,102,76.2,7.94,7.39
R_HSS,HSS101.6X76.2X6.4,15.6,1880,102,76.2,6.35,5.92
R_HSS,HSS101.6X76.2X4.8,12.1,1450,102,76.2,4.76,4.42
R_HSS,HSS101.6X76.2X3.2,8.33,994,102,76.2,3.18,2.95
R_HSS,HSS101.6X63.5X9.5,19.9,2410,102,63.5,9.53,8.86
R_HSS,HSS101.6X63.5X7.9,17.3,2080,102,63.5,7.94,7.39
R_HSS,HSS101.6X63.5X6.4,14.3,1720,102,63.5,6.35,5.92
R_HSS,HSS101.6X63.5X4.8,11.2,1330,102,63.5,4.76,4.42
R_HSS,HSS101.6X63.5X3.2,7.70,916,102,63.5,3.18,2.95
R_HSS,HSS101.6X50.8X9.5,18.0,2190,102,50.8,9.53,8.86
R_HSS,HSS101.6X50.8X7.9,15.7,1900,102,50.8,7.94,7.39
R_HSS,HSS101.6X50.8X6.4,13.1,1570,102,50.8,6.35,5.92
R_HSS,HSS101.6X50.8X4.8,10.2,1220,102,50.8,4.76,4.42
R_HSS,HSS101.6X50.8X3.2,7.06,839,102,50.8,3.18,2.95
R_HSS,HSS88.9X88.9X9.5,21.8,2640,88.9,88.9,9.53,8.86
R_HSS,HSS88.9X88.9X7.9,18.8,2270,88.9,88.9,7.94,7.39
R_HSS,HSS88.9X88.9X6.4,15.6,1880,88.9,88.9,6.35,5.92
R_HSS,HSS88.9X88.9X4.8,12.1,1450,88.9,88.9,4.76,4.42
R_HSS,HSS88.9X88.9X3.2,8.33,994,88.9,88.9,3.18,2.95
R_HSS,HSS88.9X63.5X9.5,18.0,2190,88.9,63.5,9.53,8.86
R_HSS,HSS88.9X63.5X7.9,15.6,1900,88.9,63.5,7.94,7.39
R_HSS,HSS88.9X63.5X6.4,13.1,1570,88.9,63.5,6.35,5.92
R_HSS,HSS88.9X63.5X4.8,10.2,1220,88.9,63.5,4.76,4.42
R_HSS,HSS88.9X63.5X3.2,7.07,839,88.9,63.5,3.18,2.95
R_HSS,HSS88.9X50.8X6.4,11.8,1430,88.9,50.8,6.35,5.92
R_HSS,HSS88.9X50.8X4.8,9.27,1100,88.9,50.8,4.76,4.42
R_HSS,HSS88.9X50.8X3.2,6.43,768,88.9,50.8,3.18,2.95
R_HSS,HSS88.9X38.1X6.4,10.5,1270,88.9,38.1,6.35,5.92
R_HSS,HSS88.9X38.1X4.8,8.31,994,88.9,38.1,4.76,4.42
R_HSS,HSS88.9X38.1X3.2,5.80,690,88.9,38.1,3.18,2.95
R_HSS,HSS76.2X76.2X9.5,18.0,2190,76.2,76.2,9.53,8.86
R_HSS,HSS76.2X76.2X7.9,15.7,1900,76.2,76.2,7.94,7.39
R_HSS,HSS76.2X76.2X6.4,13.1,1570,76.2,76.2,6.35,5.92
R_HSS,HSS76.2X76.2X4.8,10.2,1220,76.2,76.2,4.76,4.42
R_HSS,HSS76.2X76.2X3.2,7.06,839,76.2,76.2,3.18,2.95
R_HSS,HSS76.2X63.5X7.9,14.1,1700,76.2,63.5,7.94,7.39
R_HSS,HSS76.2X63.5X6.4,11.8,1430,76.2,63.5,6.35,5.92
R_HSS,HSS76.2X63.5X4.8,9.27,1100,76.2,63.5,4.76,4.42
R_HSS,HSS76.2X63.5X3.2,6.43,768,76.2,63.5,3.18,2.95
R_HSS,HSS76.2X50.8X7.9,12.5,1520,76.2,50.8,7.94,7.39
R_HSS,HSS76.2X50.8X6.4,10.5,1270,76.2,50.8,6.35,5.92
R_HSS,HSS76.2X50.8X4.8,8.31,994,76.2,50.8,4.76,4.42
R_HSS,HSS76.2X50.8X3.2,5.80,690,76.2,50.8,3.18,2.95
R_HSS,HSS76.2X38.1X6.4,9.26,1120,76.2,38.1,6.35,5.92
R_HSS,HSS76.2X38.1X4.8,7.36,884,76.2,38.1,4.76,4.42
R_HSS,HSS76.2X38.1X3.2,5.16,617,76.2,38.1,3.18,2.95
R_HSS,HSS76.2X25.4X4.8,6.41,768,76.2,25.4,4.76,4.42
R_HSS,HSS76.2X25.4X3.2,4.53,542,76.2,25.4,3.18,2.95
R_HSS,HSS63.5X63.5X7.9,12.5,1520,63.5,63.5,7.94,7.39
R_HSS,HSS63.5X63.5X6.4,10.5,1270,63.5,63.5,6.35,5.92
R_HSS,HSS63.5X63.5X4.8,8.30,994,63.5,63.5,4.76,4.42
R_HSS,HSS63.5X63.5X3.2,5.80,690,63.5,63.5,3.18,2.95
R_HSS,HSS63.5X50.8X6.4,9.26,1120,63.5,50.8,6.35,5.92
R_HSS,HSS63.5X50.8X4.8,7.36,884,63.5,50.8,4.76,4.42
R_HSS,HSS63.5X50.8X3.2,5.16,617,63.5,50.8,3.18,2.95
R_HSS,HSS63.5X38.1X6.4,8.00,974,63.5,38.1,6.35,5.92
R_HSS,HSS63.5X38.1X4.8,6.41,768,63.5,38.1,4.76,4.42
R_HSS,HSS63.5X38.1X3.2,4.53,542,63.5,38.1,3.18,2.95
R_HSS,HSS63.5X25.4X4.8,5.46,658,63.5,25.4,4.76,4.42
R_HSS,HSS63.5X25.4X3.2,3.90,467,63.5,25.4,3.18,2.95
R_HSS,HSS57.2X57.2X6.4,9.26,1120,57.2,57.2,6.35,5.92
R_HSS,HSS57.2X57.2X4.8,7.35,884,57.2,57.2,4.76,4.42
R_HSS,HSS57.2X57.2X3.2,5.16,617,57.2,57.2,3.18,2.95
R_HSS,HSS57.2X50.8X4.8,6.89,826,57.2,50.8,4.76,4.42
R_HSS,HSS57.2X50.8X3.2,4.85,579,57.2,50.8,3.18,2.95
R_HSS,HSS50.8X50.8X6.4,8.00,974,50.8,50.8,6.35,5.92
R_HSS,HSS50.8X50.8X4.8,6.40,768,50.8,50.8,4.76,4.42
R_HSS,HSS50.8X50.8X3.2,4.53,542,50.8,50.8,3.18,2.95
R_HSS,HSS50.8X38.1X4.8,5.46,658,50.8,38.1,4.76,4.42
R_HSS,HSS50.8X38.1X3.2,3.90,467,50.8,38.1,3.18,2.95
R_HSS,HSS50.8X25.4X4.8,4.51,545,50.8,25.4,4.76,4.42
R_HSS,HSS50.8X25.4X3.2,3.26,392,50.8,25.4,3.18,2.95
