Section,=,Rectangular CFST,,,No of tests =,,1003,,,,,,,,,,
Load type ,=,"Axial compression, no moment",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,δo (mm),N Test (kN),Notes
Bradford (SRC_NM),Zhang,1984,[125],45,98.00,98.00,5.74,399.00,234.70,,200.00,37.90,,Cyl,,950.00,
Bradford (SRC_NM),Zhang,1984,[125],46,99.00,99.00,5.84,398.00,234.70,,200.00,37.90,,Cyl,,950.00,
Bradford (SRC_NM),Zhang,1984,[125],47,99.00,99.00,5.85,395.00,234.70,,200.00,38.00,,Cyl,,850.00,
Bradford (SRC_NM),Zhang,1984,[125],48,99.00,99.00,7.72,396.00,238.30,,200.00,38.00,,Cyl,,1100.00,
Bradford (SRC_NM),Zhang,1984,[125],49,100.00,100.00,7.78,398.00,238.30,,200.00,38.00,,Cyl,,1050.00,
Bradford (SRC_NM),Zhang,1984,[125],50,99.00,99.00,7.82,397.00,238.30,,200.00,38.00,,Cyl,,1000.00,
Bradford (SRC_NM),Lu et al.,1999,[126],1,200.00,200.00,5.00,600.00,227.00,,200.00,24.00,,Cyl,,2061.00,
Bradford (SRC_NM),Lu et al.,1999,[126],2,200.00,200.00,5.00,600.00,227.00,,200.00,28.80,,Cyl,,2530.00,
Bradford (SRC_NM),Lu et al.,1999,[126],3,200.00,200.00,5.00,600.00,227.00,,200.00,36.80,,Cyl,,2468.00,
Bradford (SRC_NM),Lu et al.,1999,[126],4,300.00,300.00,5.00,900.00,227.00,,200.00,24.00,,Cyl,,3621.00,
Bradford (SRC_NM),Lu et al.,1999,[126],5,300.00,300.00,5.00,900.00,227.00,,200.00,28.80,,Cyl,,4603.00,
Bradford (SRC_NM),Lu et al.,1999,[126],6,300.00,300.00,5.00,900.00,227.00,,200.00,36.80,,Cyl,,4872.00,
Bradford (SRC_NM),Guo,2006,[123],S-80-F-1,80.20,80.20,1.59,240.00,279.90,,200.00,32.90,,Cyl,,353.00,
Bradford (SRC_NM),Guo,2006,[123],S-80-F-2,80.90,80.90,1.60,240.00,279.90,,200.00,32.90,,Cyl,,347.00,
Bradford (SRC_NM),Guo,2006,[123],S-110-F-1,110.00,110.00,1.54,330.00,279.90,,200.00,32.90,,Cyl,,510.00,
Bradford (SRC_NM),Guo,2006,[123],S-110-F-2,109.80,109.80,1.53,330.00,279.90,,200.00,32.90,,Cyl,,522.00,
Bradford (SRC_NM),Guo,2006,[123],S-150-F-1,149.30,149.30,3.63,450.00,279.90,,200.00,41.80,,Cyl,,1771.00,
Bradford (SRC_NM),Guo,2006,[123],S-150-F-2,149.30,149.30,3.63,450.00,279.90,,200.00,41.80,,Cyl,,1785.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],A1,120.00,120.00,5.80,360.00,300.00,,200.00,74.70,,Cyl,,1697.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],A2,120.00,120.00,5.80,360.00,300.00,,200.00,92.00,,Cyl,,1919.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A3-1,200.00,200.00,5.80,600.00,300.00,,200.00,74.70,,Cyl,,3996.00,
Bradford (SRC_NM),Liu & Gho,2005,[36],1A3-2,200.00,200.00,5.80,600.00,300.00,,200.00,74.70,,Cyl,,3862.00,
