Section,=,Rectangular CFST,,,No of tests =,,1003,,,,,,,,,,
Load type ,=,"Axial compression, no moment",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Refference,,,,,Geometry,,,,Steel,,,Concrete,,,,,
Source,Refference,Year,Ref. No,Speciment,b (mm),h (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),fc type,δo (mm),N Test (kN),Notes
Bradford (SRC_NM),Wei & Han,2000,[121],scdz2-3,140.00,140.00,3.84,420.00,330.10,,200.00,29.30,,Cyl,,1499.40,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz2-4,140.00,140.00,3.84,420.00,330.10,,200.00,29.30,,Cyl,,1470.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz3-1,120.00,120.00,5.86,360.00,321.10,,200.00,16.10,,Cyl,,1176.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz3-2,120.00,120.00,5.86,360.00,321.10,,200.00,16.10,,Cyl,,1117.20,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz3-3,120.00,120.00,5.86,360.00,321.10,,200.00,13.80,,Cyl,,1195.60,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz3-4,120.00,120.00,5.86,360.00,321.10,,200.00,28.20,,Cyl,,1460.20,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz3-5,120.00,120.00,5.86,360.00,321.10,,200.00,28.20,,Cyl,,1372.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz4-1,140.00,140.00,5.86,420.00,321.10,,200.00,8.70,,Cyl,,1342.60,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz4-2,140.00,140.00,5.86,420.00,321.10,,200.00,9.78,,Cyl,,1292.60,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz4-3,140.00,140.00,5.86,420.00,321.10,,200.00,29.30,,Cyl,,2009.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz4-4,140.00,140.00,5.86,420.00,321.10,,200.00,29.30,,Cyl,,1906.10,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz5-1,200.00,200.00,5.86,600.00,321.10,,200.00,9.41,,Cyl,,2058.00,
Bradford (SRC_NM),Wei & Han,2000,[121],scdz5-2,200.00,200.00,5.86,600.00,321.10,,200.00,9.41,,Cyl,,1960.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],2fp3-1,100.00,100.00,2.00,400.00,284.60,,200.00,32.40,,Cyl,,588.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],2fp3-6,100.00,100.00,2.00,400.00,284.60,,200.00,32.40,,Cyl,,656.60,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],2fp3-22,100.00,100.00,2.00,400.00,284.60,,200.00,32.40,,Cyl,,745.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],2fp4-10,100.00,100.00,2.00,400.00,284.60,,200.00,32.40,,Cyl,,705.60,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],2fp4-14,100.00,100.00,2.00,400.00,284.60,,200.00,32.40,,Cyl,,666.40,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],2fp4-16,100.00,100.00,2.00,400.00,284.60,,200.00,32.40,,Cyl,,696.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],2fp4-23,100.00,100.00,2.00,400.00,284.60,,200.00,32.40,,Cyl,,725.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],2fp4-24,100.00,100.00,2.00,400.00,284.60,,200.00,32.40,,Cyl,,745.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],3fp3-25,100.00,100.00,3.00,400.00,288.20,,200.00,32.40,,Cyl,,852.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],3fp3-36,100.00,100.00,3.00,400.00,288.20,,200.00,32.40,,Cyl,,892.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],3fp3-8,100.00,100.00,3.00,400.00,288.20,,200.00,32.40,,Cyl,,882.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],3fp3-26,100.00,100.00,3.00,400.00,288.20,,200.00,32.40,,Cyl,,931.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],3fp3-5,100.00,100.00,3.00,400.00,288.20,,200.00,32.40,,Cyl,,882.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],3fp4-11,100.00,100.00,3.00,400.00,288.20,,200.00,32.40,,Cyl,,891.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],3fp4-17,100.00,100.00,3.00,400.00,288.20,,200.00,32.40,,Cyl,,833.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],3fp4-20,100.00,100.00,3.00,400.00,288.20,,200.00,32.40,,Cyl,,872.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp3-4,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1195.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp3-27,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1068.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp3-28,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1294.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp3-35,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1274.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp3-29,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1313.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp4-13,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1294.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp4-18,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1244.60,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp4-21,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1323.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp4-30,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1313.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp4-31,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1274.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],5fp4-32,100.00,100.00,5.00,400.00,403.40,,200.00,32.40,,Cyl,,1244.60,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp3-7,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,1019.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp3-9,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,980.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp3-2,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,882.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp3-33,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,901.60,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp3-34,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,980.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp4-15,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,1000.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp4-19,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,970.00,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp4-35,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,921.20,
Bradford (SRC_NM),Zhang & Zhou,2000,[129],4fp4-36,100.00,100.00,4.00,400.00,239.80,,200.00,32.40,,Cyl,,960.40,
Bradford (SRC_NM),Tomii & Sakino,1979,[40],1A,100.00,100.00,2.29,300.00,194.20,346.17,206.00,32.00,,Cyl,,497.40,
Bradford (SRC_NM),Tomii & Sakino,1979,[40],1B,100.00,100.00,2.29,300.00,194.20,346.17,206.00,32.00,,Cyl,,498.00,
Bradford (SRC_NM),Tomii & Sakino,1979,[40],2A,100.00,100.00,2.20,300.00,339.40,410.90,214.00,21.40,,Cyl,,511.00,
Bradford (SRC_NM),Tomii & Sakino,1979,[40],2B,100.00,100.00,2.20,300.00,339.40,410.90,214.00,21.40,,Cyl,,510.00,
Bradford (SRC_NM),Tomii & Sakino,1979,[40],4A,100.00,100.00,2.99,300.00,288.40,404.03,206.00,20.60,,Cyl,,529.00,
Bradford (SRC_NM),Tomii & Sakino,1979,[40],3B,100.00,100.00,2.99,300.00,288.40,404.03,206.00,20.60,,Cyl,,528.00,
Bradford (SRC_NM),Tomii & Sakino,1979,[40],4A,100.00,100.00,4.25,300.00,284.50,392.27,226.00,19.80,,Cyl,,667.00,
Bradford (SRC_NM),Tomii & Sakino,1979,[40],4B,100.00,100.00,4.25,300.00,284.50,392.27,226.00,19.80,,Cyl,,666.00,
Bradford (SRC_NM),Grauers,1993,[43],27,250.00,250.00,8.00,500.00,379.00,,200.00,33.00,,Cyl,,4870.00,
Bradford (SRC_NM),Grauers,1993,[43],28,250.00,250.00,8.00,500.00,379.00,,200.00,91.00,,Cyl,,8300.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4A2,148.00,148.00,4.38,444.00,262.00,,206.00,25.40,,Cyl,,1153.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4A4.1,148.00,148.00,4.38,444.00,262.00,,206.00,40.50,,Cyl,,1414.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4A4.2,148.00,148.00,4.38,444.00,262.00,,206.00,40.50,,Cyl,,1402.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4A8,148.00,148.00,4.38,444.00,262.00,,206.00,77.00,,Cyl,,2108.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4C2,215.00,215.00,4.38,645.00,262.00,,206.00,25.40,,Cyl,,1777.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4C4.1,215.00,215.00,4.38,645.00,262.00,,206.00,41.10,,Cyl,,2424.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4C4.2,215.00,215.00,4.38,645.00,262.00,,206.00,41.10,,Cyl,,2393.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4C8,215.00,215.00,4.38,645.00,262.00,,206.00,80.30,,Cyl,,3837.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4D2,323.00,323.00,4.38,969.00,262.00,,206.00,25.40,,Cyl,,3367.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4D4.1,323.00,323.00,4.38,969.00,262.00,,206.00,41.10,,Cyl,,5950.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4D4.2,323.00,323.00,4.38,969.00,262.00,,206.00,41.10,,Cyl,,4830.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4D8,323.00,323.00,4.38,969.00,262.00,,206.00,80.30,,Cyl,,7481.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6A2,144.00,144.00,6.36,432.00,618.00,,206.00,25.40,,Cyl,,2572.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6A4.1,144.00,144.00,6.36,432.00,618.00,,206.00,40.50,,Cyl,,2808.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6A4.2,144.00,144.00,6.36,432.00,618.00,,206.00,40.50,,Cyl,,2765.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6A8,144.00,144.00,6.36,432.00,618.00,,206.00,77.00,,Cyl,,3399.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6C2,211.00,211.00,6.36,633.00,618.00,,206.00,25.40,,Cyl,,3920.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6C4.1,211.00,211.00,6.36,633.00,618.00,,206.00,40.50,,Cyl,,4428.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6C4.2,211.00,211.00,6.36,633.00,618.00,,206.00,40.50,,Cyl,,4484.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6C8,211.00,211.00,6.36,633.00,618.00,,206.00,77.00,,Cyl,,5758.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6D2,319.00,319.00,6.36,957.00,618.00,,206.00,25.40,,Cyl,,6320.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6D4.1,319.00,319.00,6.36,957.00,618.00,,206.00,41.10,,Cyl,,7780.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6D4.2,318.00,318.00,6.36,954.00,618.00,,206.00,41.10,,Cyl,,7473.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6D8,319.00,319.00,6.36,957.00,618.00,,206.00,85.10,,Cyl,,10357.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8A2,120.00,120.00,6.36,360.00,618.00,,206.00,25.40,,Cyl,,2819.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8A4.1,120.00,120.00,6.47,360.00,835.00,,206.00,40.50,,Cyl,,2957.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8A4.2,120.00,120.00,6.47,360.00,835.00,,206.00,40.50,,Cyl,,2961.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8A8,120.00,120.00,6.47,360.00,835.00,,206.00,77.00,,Cyl,,3318.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8C2,175.00,175.00,6.47,525.00,835.00,,206.00,25.40,,Cyl,,4210.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8C4.1,175.00,175.00,6.47,525.00,835.00,,206.00,40.50,,Cyl,,4493.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8C4.2,175.00,175.00,6.47,525.00,835.00,,206.00,40.50,,Cyl,,4542.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8C8,175.00,175.00,6.47,525.00,835.00,,206.00,77.00,,Cyl,,5366.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8D2,265.00,265.00,6.47,795.00,835.00,,206.00,25.40,,Cyl,,6546.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8D4.1,265.00,265.00,6.47,795.00,835.00,,206.00,41.10,,Cyl,,7117.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8D4.2,265.00,265.00,6.47,795.00,835.00,,206.00,41.10,,Cyl,,7172.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8D8,265.00,265.00,6.47,795.00,835.00,,206.00,80.30,,Cyl,,8990.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4A4.3,210.00,210.00,5.48,630.00,294.00,,206.00,39.10,,Cyl,,3184.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4A9,211.00,211.00,5.48,633.00,294.00,,206.00,91.10,,Cyl,,4775.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4C4.3,210.00,210.00,4.50,630.00,277.00,,206.00,39.10,,Cyl,,2714.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR4C9,211.00,211.00,4.50,633.00,277.00,,206.00,91.10,,Cyl,,4372.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6A4.3,211.00,211.00,8.83,633.00,536.00,,206.00,39.10,,Cyl,,5900.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6A9,211.00,211.00,8.83,633.00,536.00,,206.00,91.10,,Cyl,,7010.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6C4.3,204.00,204.00,5.95,612.00,540.00,,206.00,39.10,,Cyl,,4027.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR6C9,204.00,204.00,5.95,612.00,540.00,,206.00,91.10,,Cyl,,5305.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8A4.3,180.00,180.00,9.45,540.00,825.00,,206.00,39.10,,Cyl,,6805.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8A9,180.00,180.00,9.45,540.00,825.00,,206.00,91.10,,Cyl,,7405.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8C4.3,180.00,180.00,6.60,540.00,824.00,,206.00,31.10,,Cyl,,5030.00,
Bradford (SRC_NM),Inai & Sakino,1996,[44],CR8C9,180.00,180.00,6.60,540.00,824.00,,206.00,91.10,,Cyl,,5875.00,
Bradford (SRC_NM),Nakahara & Sakino,1998,[45],CR8-6-10,200.00,200.00,6.16,600.00,781.00,,212.00,119.00,,Cyl,,6645.00,
Bradford (SRC_NM),Nakahara & Sakino,1998,[45],CR8-3-10,200.00,200.00,3.17,600.00,781.00,,212.00,119.00,,Cyl,,4910.00,
Bradford (SRC_NM),Nakahara & Sakino,1998,[45],CR4-6-10,200.00,200.00,6.39,600.00,310.00,,209.00,119.00,,Cyl,,4965.00,
Bradford (SRC_NM),Nakahara & Sakino,1998,[45],CR4-3-10,200.00,200.00,3.09,600.00,310.00,,209.00,119.00,,Cyl,,3899.00,
Bradford (SRC_NM),Varma,2000,[46],SC-32-80,305.00,305.00,8.90,1220.00,560.00,674.00,197.00,110.00,,Cyl,,14116.00,fy = 600 (Mark's Database)
Bradford (SRC_NM),Varma,2001,[46],SC-48080,305.00,305.00,6.10,1220.00,660.00,737.00,194.00,110.00,,Cyl,,12307.00,
Bradford (SRC_NM),Varma,2002,[46],Sc-32-46,305.00,305.00,8.60,1220.00,259.00,429.00,197.00,110.00,,Cyl,,11390.00,
Bradford (SRC_NM),Varma,2003,[46],SC-48-46,305.00,305.00,5.80,1220.00,471.00,534.00,204.00,110.00,,Cyl,,11568.00,
Bradford (SRC_NM),Lu & Kennedy,1992,[47],1,152.40,152.40,4.43,300.00,389.00,,212.00,46.20,,Cyl,,1906.00,
Bradford (SRC_NM),Lu & Kennedy,1992,[47],2,152.40,152.40,8.95,300.00,432.00,,205.00,45.40,,Cyl,,3307.00,
Bradford (SRC_NM),Lu & Kennedy,1992,[47],3,152.00,153.40,6.17,300.00,377.00,,208.00,43.60,,Cyl,,3317.00,
Bradford (SRC_NM),Lu & Kennedy,1992,[47],4,152.20,153.00,9.04,300.00,394.00,,200.00,47.20,,Cyl,,4208.00,
Bradford (SRC_NM),Yamamoto,2000,[13],S10D-2I,100.20,100.20,2.18,300.00,300.00,,200.00,25.70,,Cyl,,411.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S20D-2I,200.30,200.30,4.35,601.00,323.00,,200.00,29.60,,Cyl,,1613.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S30D-2I,300.50,300.50,6.10,902.00,395.00,,200.00,26.50,,Cyl,,2766.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S10D-4I,100.00,100.00,2.18,300.00,300.00,,200.00,53.70,,Cyl,,697.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S20D-4I,200.10,200.10,4.35,601.00,323.00,,200.00,57.90,,Cyl,,2563.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S30D-4I,300.60,300.60,6.10,902.00,395.00,,200.00,58.90,,Cyl,,5481.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S10D-6I,101.10,101.10,2.18,300.00,300.00,,200.00,61.00,,Cyl,,783.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S20D-6I,200.20,200.20,4.35,601.00,323.00,,200.00,63.70,,Cyl,,2825.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S10D-2A,100.20,100.20,2.18,300.00,300.00,,200.00,25.70,,Cyl,,609.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S20D-2A,200.30,200.30,4.35,601.00,323.00,,200.00,29.60,,Cyl,,2230.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S30D-2A,300.50,300.50,6.10,902.00,395.00,,200.00,26.50,,Cyl,,5102.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S10D-4A,100.10,100.10,2.18,300.00,300.00,,200.00,53.70,,Cyl,,851.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S20D-4A,200.10,200.10,4.35,601.00,323.00,,200.00,57.90,,Cyl,,3201.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S30D-4A,300.70,300.70,6.10,902.00,395.00,,200.00,52.20,,Cyl,,6494.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S10D-6A,100.10,100.10,2.18,300.00,300.00,,200.00,61.00,,Cyl,,911.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Yamamoto,2000,[13],S20D-6A,200.30,200.30,4.35,601.00,323.00,,200.00,63.70,,Cyl,,3417.00,A' tests loaded on steel & concrete
Bradford (SRC_NM),Lam & Williams	,2004,[48],S3,100.70,100.70,9.60,301.00,400.00,,200.00,24.64,,Cyl,,1550.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S4,101.00,101.00,9.60,300.00,400.00,,200.00,74.88,,Cyl,,2000.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S5,99.90,99.90,4.90,301.00,289.00,,200.00,24.64,,Cyl,,800.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S6,99.80,99.80,4.90,300.00,300.00,,200.00,74.88,,Cyl,,900.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S7,100.10,100.10,4.20,301.00,333.00,,200.00,27.76,,Cyl,,700.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S8,100.00,100.00,4.20,302.00,333.00,,200.00,27.76,,Cyl,,680.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S9,100.00,100.00,4.10,299.00,333.00,,200.00,77.76,,Cyl,,1130.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S10-g,100.00,100.00,4.10,300.00,333.00,,200.00,77.76,,Cyl,,970.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S12,100.00,100.00,4.10,301.00,333.00,,200.00,46.08,,Cyl,,880.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S13-g,99.90,99.90,4.00,301.00,333.00,,200.00,46.08,,Cyl,,830.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S14,101.00,101.00,9.60,302.00,400.00,,200.00,46.08,,Cyl,,1800.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S15-g,99.80,99.80,4.80,302.00,289.00,,200.00,25.52,,Cyl,,780.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S16,99.70,99.70,4.70,301.00,289.00,,200.00,46.56,,Cyl,,1000.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S17-g,99.70,99.70,4.73,302.00,289.00,,200.00,79.12,,Cyl,,1050.00,t differs to Mark's database
Bradford (SRC_NM),Lam & Williams	,2004,[48],S18,99.90,99.90,4.10,301.00,333.00,,200.00,79.12,,Cyl,,1130.00,t differs to Mark's database
Bradford (SRC_NM),Han & Yao,2004,[14],sssc-1 flow,200.00,200.00,3.00,600.00,303.50,,200.00,46.80,,Cyl,,2458.00,
Bradford (SRC_NM),Han & Yao,2004,[14],sssc-2 flow,200.00,200.00,3.00,601.00,303.50,,200.00,46.80,,Cyl,,2594.00,
Bradford (SRC_NM),Han & Yao,2004,[14],ssh-1 hand,200.00,200.00,3.00,602.00,303.50,,200.00,46.80,,Cyl,,2306.00,
Bradford (SRC_NM),Han & Yao,2004,[14],ssh-2 hand,200.00,200.00,3.00,603.00,303.50,,200.00,46.80,,Cyl,,2284.00,
Bradford (SRC_NM),Han & Yao,2004,[14],ssv-1 vib,200.00,200.00,3.00,604.00,303.50,,200.00,46.80,,Cyl,,2550.00,
Bradford (SRC_NM),Han & Yao,2004,[14],ssv-2  vib,200.00,200.00,3.00,605.00,303.50,,200.00,46.80,,Cyl,,2587.00,
Bradford (LRC_NM),Matsui et al.,1995,[5],R4-0,149.80,149.80,4.27,600.00,412.00,,200.00,31.90,,Cyl,,1598.00,
Bradford (LRC_NM),Matsui et al.,1995,[5],R8-0,149.80,149.80,4.27,1200.00,412.00,,200.00,31.90,,Cyl,,1586.00,
Bradford (LRC_NM),Matsui et al.,1995,[5],R12-0,149.80,149.80,4.27,1800.00,412.00,,200.00,31.90,,Cyl,,1573.00,
Bradford (LRC_NM),Matsui et al.,1995,[5],R18-0,149.80,149.80,4.27,2700.00,412.00,,200.00,31.90,,Cyl,,1356.00,
Bradford (LRC_NM),Matsui et al.,1995,[5],R24-0,149.80,149.80,4.27,3600.00,412.00,,200.00,31.90,,Cyl,,1143.00,
Bradford (LRC_NM),Matsui et al.,1995,[5],R30-0,149.80,149.80,4.27,4500.00,412.00,,200.00,31.90,,Cyl,,909.00,
Bradford (LRC_NM),Wei & Han,2000,[121],Sccz1,120.00,120.00,5.86,2600.00,321.10,,200.00,20.40,,Cyl,,999.60,
Bradford (LRC_NM),Wei & Han,2000,[121],Sccz2,200.00,200.00,5.86,2600.00,321.10,,200.00,16.80,,Cyl,,2082.50,
Bradford (LRC_NM),Wei & Han,2000,[121],Sccz3-1,120.00,120.00,3.84,2600.00,330.10,,200.00,17.90,,Cyl,,754.20,
Bradford (LRC_NM),Wei & Han,2000,[121],Sccz3-2,120.00,120.00,3.84,2600.00,330.10,,200.00,17.90,,Cyl,,833.00,
Bradford (LRC_NM),Wei & Han,2000,[121],Sccz3-3,120.00,120.00,3.84,2600.00,330.10,,200.00,29.30,,Cyl,,980.00,
Bradford (LRC_NM),Wei & Han,2000,[121],Sccz4-1,140.00,140.00,3.84,2600.00,330.10,,200.00,17.70,,Cyl,,1048.60,
Bradford (LRC_NM),Wei & Han,2000,[121],Sccz4-2,140.00,140.00,3.84,2600.00,330.10,,200.00,17.70,,Cyl,,1127.00,
Bradford (LRC_NM),Wei & Han,2000,[121],Sccz4-3,140.00,140.00,3.84,2600.00,330.10,,200.00,29.30,,Cyl,,1323.00,
Bradford (LRC_NM),Furlong	,1967,[22],"""1""",101.60,101.60,2.13,914.00,336.00,,203.00,23.80,,Cyl,,524.00,
Bradford (LRC_NM),Furlong	,1967,[22],"""2""",101.60,101.60,2.13,914.00,336.00,,203.00,23.80,,Cyl,,488.00,
Bradford (LRC_NM),Furlong	,1967,[22],"""3""",101.60,101.60,3.18,914.00,336.00,,203.00,29.30,,Cyl,,667.00,
Bradford (LRC_NM),Furlong	,1967,[22],"""4""",101.60,101.60,3.18,914.00,336.00,,203.00,29.30,,Cyl,,676.00,
Bradford (LRC_NM),Furlong	,1967,[22],"""5""",127.00,127.00,4.80,914.00,492.00,,203.00,45.50,,Cyl,,1156.00,
Mark (RCFT_C+PBC),Furlong,1967,[22],Column-3,127.00,127.00,2.13,914.40,484.72,,,44.82,,Cyl,,1601.36,Length from Knowles and Park (1970)
Mark (RCFT_C+PBC),Furlong,1967,[22],Column-4,101.60,101.60,2.13,914.40,330.96,,,23.44,,Cyl,,524.00,Length from Knowles and Park (1970)
Mark (RCFT_C+PBC),Furlong,1967,[22],Column-5,101.60,101.60,3.18,914.40,330.96,,,23.44,,Cyl,,488.41,Length from Knowles and Park (1970)
