b (mm),h (mm),t (mm),L (mm),fy (MPa),Ea (Gpa),fc (MPa),N Test (kN),short or not,bedistel
125.00,160.00,4.00,480.00,495.00,200.00,77.60,2674.00,yse,no
101.60,130.30,5.03,390.00,347.30,200.00,49.40,1580.00,yse,no
102.30,130.30,5.14,390.00,347.30,200.00,49.40,1600.00,yse,no
102.30,130.30,5.14,390.00,347.30,200.00,49.40,1640.00,yse,no
120.20,166.30,2.94,480.00,255.10,200.00,49.40,1580.00,yse,no
126.20,161.00,2.98,480.00,255.10,200.00,49.40,1580.00,yse,no
126.00,160.30,2.92,480.00,255.10,200.00,49.40,1560.00,yse,no
136.10,167.40,5.13,480.00,347.30,200.00,49.40,2510.00,yse,no
135.30,170.80,5.07,510.00,347.30,200.00,49.40,2470.00,yse,no
102.70,125.70,5.15,390.00,347.30,200.00,58.60,1840.00,yse,no
120.40,130.00,5.03,390.00,347.30,200.00,58.60,1820.00,yse,no
102.70,132.30,4.98,390.00,347.30,200.00,58.60,1725.00,yse,no
122.50,157.10,2.01,480.00,305.10,200.00,58.60,1800.00,yse,no
119.00,161.90,2.00,480.00,305.10,200.00,58.60,1740.00,yse,no
125.10,160.40,2.85,480.00,255.10,200.00,58.60,1855.00,yse,no
125.60,160.00,2.88,480.00,255.10,200.00,58.60,2030.00,yse,no
125.00,161.10,2.81,480.00,255.10,200.00,58.60,2040.00,yse,no
137.10,167.90,5.10,480.00,347.30,200.00,58.60,2600.00,yse,no
133.20,172.70,5.08,480.00,347.30,200.00,58.60,2700.00,yse,no
122.70,160.20,2.03,480.00,305.10,200.00,49.40,1400.00,yse,no
119.40,160.10,2.01,480.00,305.10,200.00,49.40,1420.00,yse,no
124.30,161.50,2.00,480.00,305.10,200.00,49.40,1320.00,yse,no
149.30,149.30,3.63,448.00,283.60,200.00,31.70,1771.00,yse,no
149.30,149.30,3.63,448.00,283.60,200.00,31.70,1785.00,yse,no
149.10,149.10,3.69,448.00,283.60,200.00,31.70,1409.00,yse,no
149.00,149.00,3.59,448.00,283.60,200.00,31.70,1370.00,yse,no
148.60,148.60,3.67,448.00,283.60,200.00,31.70,1433.00,yse,no
120.00,120.00,2.65,360.00,340.00,200.00,12.20,635.00,yse,no
120.00,120.00,2.65,360.00,340.00,200.00,21.90,778.00,yse,no
76.00,76.00,3.09,228.00,199.00,68.10,36.10,275.00,yse,no
75.90,75.90,3.09,228.00,199.00,68.10,74.40,382.00,yse,no
76.00,76.00,3.09,228.00,199.00,68.10,108.60,514.00,yse,no
88.10,88.10,1.76,269.00,115.00,67.30,36.10,299.00,yse,no
88.00,88.00,1.76,264.00,115.00,67.30,74.40,467.00,yse,no
88.00,88.00,1.76,264.00,115.00,67.30,108.60,722.00,yse,no
100.00,44.10,1.57,300.00,145.00,68.10,36.10,182.00,yse,no
100.00,44.10,1.57,300.00,145.00,68.10,74.40,296.00,yse,no
99.90,44.00,1.57,300.00,145.00,68.10,108.60,342.00,yse,no
99.60,44.70,2.90,300.00,228.00,66.90,36.10,237.00,yse,no
99.70,44.10,2.90,300.00,228.00,66.90,74.40,271.00,yse,no
99.80,44.20,2.90,300.00,228.00,66.90,108.60,344.00,yse,no
114.30,114.30,9.63,406.00,258.00,203.00,32.60,2442.00,yse,no
114.90,114.90,4.39,406.00,258.00,203.00,32.60,897.00,yse,no
120.00,120.00,3.84,360.00,330.10,200.00,14.60,882.00,yse,no
120.00,120.00,3.84,360.00,330.10,200.00,16.70,882.00,yse,no
120.00,120.00,3.84,360.00,330.10,200.00,16.70,921.20,yse,no
120.00,120.00,3.84,360.00,330.10,200.00,26.40,1080.00,yse,no
120.00,120.00,3.84,360.00,330.10,200.00,28.20,1078.00,yse,no
140.00,140.00,3.84,420.00,330.10,200.00,8.52,940.80,yse,no
140.00,140.00,3.84,420.00,330.10,200.00,8.97,921.60,yse,no
140.00,140.00,3.84,420.00,330.10,200.00,29.30,1499.40,yse,no
140.00,140.00,3.84,420.00,330.10,200.00,29.30,1470.00,yse,no
120.00,120.00,5.86,360.00,321.10,200.00,16.10,1176.00,yse,no
120.00,120.00,5.86,360.00,321.10,200.00,16.10,1117.20,yse,no
120.00,120.00,5.86,360.00,321.10,200.00,13.80,1195.60,yse,no
120.00,120.00,5.86,360.00,321.10,200.00,28.20,1460.20,yse,no
120.00,120.00,5.86,360.00,321.10,200.00,28.20,1372.00,yse,no
140.00,140.00,5.86,420.00,321.10,200.00,8.70,1342.60,yse,no
140.00,140.00,5.86,420.00,321.10,200.00,9.78,1292.60,yse,no
140.00,140.00,5.86,420.00,321.10,200.00,29.30,2009.00,yse,no
140.00,140.00,5.86,420.00,321.10,200.00,29.30,1906.10,yse,no
200.00,200.00,5.86,600.00,321.10,200.00,9.41,2058.00,yse,no
200.00,200.00,5.86,600.00,321.10,200.00,9.41,1960.00,yse,no
100.00,100.00,2.00,400.00,284.60,200.00,32.40,588.00,yse,no
100.00,100.00,2.00,400.00,284.60,200.00,32.40,656.60,yse,no
100.00,100.00,2.00,400.00,284.60,200.00,32.40,745.00,yse,no
100.00,100.00,2.00,400.00,284.60,200.00,32.40,705.60,yse,no
100.00,100.00,2.00,400.00,284.60,200.00,32.40,666.40,yse,no
100.00,100.00,2.00,400.00,284.60,200.00,32.40,696.00,yse,no
100.00,100.00,2.00,400.00,284.60,200.00,32.40,725.00,yse,no
100.00,100.00,2.00,400.00,284.60,200.00,32.40,745.00,yse,no
100.00,100.00,3.00,400.00,288.20,200.00,32.40,852.00,yse,no
100.00,100.00,3.00,400.00,288.20,200.00,32.40,892.00,yse,no
100.00,100.00,3.00,400.00,288.20,200.00,32.40,882.00,yse,no
100.00,100.00,3.00,400.00,288.20,200.00,32.40,931.00,yse,no
100.00,100.00,3.00,400.00,288.20,200.00,32.40,882.00,yse,no
100.00,100.00,3.00,400.00,288.20,200.00,32.40,891.00,yse,no
100.00,100.00,3.00,400.00,288.20,200.00,32.40,833.00,yse,no
100.00,100.00,3.00,400.00,288.20,200.00,32.40,872.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1195.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1068.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1294.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1274.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1313.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1294.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1244.60,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1323.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1313.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1274.00,yse,no
100.00,100.00,5.00,400.00,403.40,200.00,32.40,1244.60,yse,no
100.00,100.00,4.00,400.00,239.80,200.00,32.40,1019.00,yse,no
100.00,100.00,4.00,400.00,239.80,200.00,32.40,980.00,yse,no
100.00,100.00,4.00,400.00,239.80,200.00,32.40,882.00,yse,no
100.00,100.00,4.00,400.00,239.80,200.00,32.40,901.60,yse,no
100.00,100.00,4.00,400.00,239.80,200.00,32.40,980.00,yse,no
100.00,100.00,4.00,400.00,239.80,200.00,32.40,1000.00,yse,no
