b (mm),h (mm),t (mm),L (mm),fy (MPa),Ea (Gpa),fc (MPa),N Test (kN),short or not,bedistel
80.50,160.70,4.18,480.00,550.00,200.00,56.60,1820.00,yse,no
81.00,160.10,4.18,480.00,550.00,200.00,65.70,1880.00,yse,no
80.10,160.60,4.18,480.00,550.00,200.00,65.70,2100.00,yse,no
101.20,199.80,4.18,600.00,550.00,200.00,56.60,2350.00,yse,no
98.90,200.20,4.18,600.00,550.00,200.00,56.60,2380.00,yse,no
102.10,199.20,4.18,600.00,550.00,200.00,65.70,2900.00,yse,no
99.60,199.80,4.18,600.00,550.00,200.00,65.70,2800.00,yse,no
100.00,150.00,4.00,450.00,495.00,200.00,58.40,1735.00,yse,no
100.00,150.00,4.00,450.00,495.00,200.00,58.40,1778.00,yse,no
90.00,180.00,4.00,540.00,495.00,200.00,58.40,1773.00,yse,no
90.00,180.00,4.00,540.00,495.00,200.00,58.40,1795.00,yse,no
110.00,160.00,4.00,480.00,495.00,200.00,58.40,1982.00,yse,no
110.00,160.00,4.00,480.00,495.00,200.00,58.40,1923.00,yse,no
100.00,190.00,4.00,570.00,495.00,200.00,58.40,2049.00,yse,no
100.00,190.00,4.00,570.00,495.00,200.00,58.40,2124.00,yse,no
90.00,130.00,4.00,390.00,495.00,200.00,77.60,1752.00,yse,no
90.00,130.00,4.00,390.00,495.00,200.00,77.60,1806.00,yse,no
80.00,160.00,4.00,480.00,495.00,200.00,77.60,1878.00,yse,no
80.00,160.00,4.00,480.00,495.00,200.00,77.60,1858.00,yse,no
101.50,162.90,2.00,480.00,305.10,200.00,49.40,1068.00,yse,no
100.30,163.90,1.99,480.00,305.10,200.00,49.40,1080.00,yse,no
102.70,160.80,2.04,480.00,305.10,200.00,49.40,1080.00,yse,no
105.90,161.40,2.96,480.00,255.10,200.00,49.40,1420.00,yse,no
105.70,158.20,2.93,480.00,255.10,200.00,49.40,1440.00,yse,no
103.30,159.10,4.80,480.00,347.30,200.00,49.40,1875.00,yse,no
102.40,156.70,4.80,480.00,347.30,200.00,49.40,1915.00,yse,no
104.40,158.80,4.85,480.00,347.30,200.00,49.40,1820.00,yse,no
121.60,188.40,4.88,480.00,347.30,200.00,49.40,2260.00,yse,no
120.40,190.90,4.83,570.00,347.30,200.00,49.40,2510.00,yse,no
102.10,160.20,2.00,570.00,305.10,200.00,58.60,1555.00,yse,no
99.60,162.80,2.13,480.00,305.10,200.00,58.60,1460.00,yse,no
98.50,162.30,2.00,480.00,305.10,200.00,58.60,1545.00,yse,no
105.10,159.10,2.93,480.00,255.10,200.00,58.60,1610.00,yse,no
102.20,163.80,2.93,480.00,255.10,200.00,58.60,1680.00,yse,no
104.50,162.60,3.04,480.00,255.10,200.00,58.60,1640.00,yse,no
103.40,156.90,4.71,480.00,347.30,200.00,58.60,2090.00,yse,no
106.90,162.00,4.81,480.00,347.30,200.00,58.60,2320.00,yse,no
102.60,158.90,4.74,480.00,347.30,200.00,58.60,2060.00,yse,no
119.70,164.60,2.01,480.00,305.10,200.00,58.60,1800.00,yse,no
121.00,194.80,4.72,570.00,347.30,200.00,49.40,2700.00,yse,no
121.70,189.60,4.81,570.00,347.30,200.00,49.40,2680.00,yse,no
100.70,162.70,2.97,480.00,255.10,200.00,49.40,1080.00,yse,no
149.30,149.30,3.64,1350.00,289.00,200.00,44.00,1552.00,yse,no
99.60,200.60,3.56,1800.00,289.00,200.00,44.00,1461.00,yse,no
114.30,114.30,9.63,406.40,254.07,,32.13,2442.07,yse,no
114.86,114.86,4.39,406.40,254.07,,32.13,896.76,yse,no
76.20,76.20,3.35,812.80,324.05,,45.06,462.62,yse,no
76.20,76.20,3.35,508.00,324.05,,40.85,505.76,yse,no
76.20,76.20,3.35,254.00,324.05,,40.85,511.55,yse,no
150.00,150.00,0.70,480.00,245.17,,22.56,558.00,yse,no
150.00,150.00,0.70,800.00,245.17,,22.56,611.93,yse,no
150.00,150.00,1.40,800.00,245.17,,22.56,711.96,yse,no
150.00,150.00,2.10,800.00,245.17,,22.56,793.36,yse,no
150.00,200.00,0.70,480.00,245.17,,22.56,795.32,yse,no
150.00,200.00,0.70,800.00,245.17,,22.56,705.10,yse,no
150.00,200.00,1.40,800.00,245.17,,22.56,881.62,yse,no
150.00,200.00,2.10,800.00,245.17,,22.56,844.35,yse,no
150.00,150.00,0.70,480.00,245.17,,33.73,747.27,yse,no
150.00,150.00,1.40,800.00,245.17,,35.30,973.80,yse,no
150.00,200.00,1.40,480.00,245.17,,33.73,1172.88,yse,no
150.00,200.00,2.10,800.00,245.17,,35.30,1268.00,yse,no
150.00,150.00,4.50,600.00,438.36,,31.87,1597.50,yse,no
150.00,150.00,4.50,1200.00,438.36,,31.87,1585.74,yse,no
130.00,130.00,2.65,780.00,340.10,,22.00,760.00,yse,no
130.00,130.00,2.65,780.00,340.10,,22.00,770.00,yse,no
130.00,130.00,2.65,780.00,340.10,,22.00,690.00,yse,no
130.00,130.00,2.65,780.00,340.10,,22.00,739.00,yse,no
240.00,360.00,2.65,1440.00,340.10,,22.00,2300.00,yse,no
240.00,360.00,2.65,1440.00,340.10,,22.00,2250.00,yse,no
240.00,360.00,2.65,1440.00,340.10,,22.00,1610.00,yse,no
240.00,360.00,2.65,1440.00,340.10,,22.00,1600.00,yse,no
130.00,195.00,2.65,780.00,340.10,,22.00,980.00,yse,no
130.00,195.00,2.65,780.00,340.10,,22.00,960.00,yse,no
130.00,195.00,2.65,780.00,340.10,,22.00,880.00,yse,no
130.00,195.00,2.65,780.00,340.10,,22.00,900.00,yse,no
90.00,135.00,2.65,540.00,340.10,,22.00,580.00,yse,no
90.00,135.00,2.65,540.00,340.10,,22.00,592.00,yse,no
90.00,135.00,2.65,540.00,340.10,,22.00,570.00,yse,no
90.00,135.00,2.65,540.00,340.10,,22.00,552.00,yse,no
120.00,240.00,2.65,720.00,340.10,,22.00,1140.00,yse,no
120.00,240.00,2.65,720.00,340.10,,22.00,1032.00,yse,no
120.00,240.00,2.65,720.00,340.10,,22.00,968.00,yse,no
60.00,100.00,2.93,600.00,293.50,,34.30,490.00,yse,no
80.00,100.00,2.93,600.00,293.50,,34.30,680.00,yse,no
60.00,120.00,2.93,600.00,293.50,,34.30,570.00,yse,no
90.00,120.00,2.93,600.00,293.50,,34.30,825.00,yse,no
120.00,120.00,2.65,360.00,340.00,,20.10,640.00,yse,no
120.00,120.00,2.65,360.00,340.00,,20.10,664.00,yse,no
120.00,120.00,2.65,360.00,340.00,,36.00,816.00,yse,no
120.00,120.00,2.65,360.00,340.00,,36.00,812.00,yse,no
120.00,120.00,2.65,1400.00,340.00,,36.00,769.00,yse,no
120.00,120.00,2.65,1400.00,340.00,,36.00,730.00,yse,no
100.00,200.00,5.00,2000.00,360.00,,33.40,1242.00,yse,no
100.00,200.00,5.00,2000.00,360.00,,33.40,1242.00,yse,no
100.00,200.00,5.00,2000.00,360.00,,10.00,1062.00,yse,no
100.00,200.00,5.00,2000.00,360.00,,10.00,1022.00,yse,no
100.00,100.00,2.93,600.00,293.50,,34.30,802.00,yse,no
120.00,120.00,2.93,600.00,293.50,,34.30,1054.00,yse,no
200.00,200.00,3.00,600.00,303.50,,58.50,2458.00,yse,no
200.00,200.00,3.00,600.00,303.50,,58.50,2594.00,yse,no
200.00,200.00,3.00,600.00,303.50,,58.50,2306.00,yse,no
200.00,200.00,3.00,600.00,303.50,,58.50,2284.00,yse,no
200.00,200.00,3.00,600.00,303.50,,58.50,2550.00,yse,no
200.00,200.00,3.00,600.00,303.50,,58.50,2587.00,yse,no
200.00,200.00,3.00,2310.00,303.50,,58.50,1986.00,yse,no
200.00,200.00,3.00,2310.00,303.50,,58.50,2045.00,yse,no
200.00,200.00,3.00,2310.00,303.50,,58.50,2280.00,yse,no
200.00,200.00,3.00,2310.00,303.50,,58.50,2173.00,yse,no
200.00,200.00,3.00,2310.00,303.50,,58.50,2258.00,yse,no
148.00,148.00,4.38,444.00,262.00,,25.40,1153.00,yse,no
148.00,148.00,4.38,444.00,262.00,,40.50,1414.00,yse,no
148.00,148.00,4.38,444.00,262.00,,40.50,1402.00,yse,no
148.00,148.00,4.38,444.00,262.00,,77.00,2108.00,yse,no
215.00,215.00,4.38,645.00,262.00,,25.40,1777.00,yse,no
215.00,215.00,4.38,645.00,262.00,,41.10,2424.00,yse,no
215.00,215.00,4.38,645.00,262.00,,41.10,2393.00,yse,no
215.00,215.00,4.38,645.00,262.00,,80.30,3837.00,yse,no
323.00,323.00,4.38,969.00,262.00,,25.40,3367.00,yse,no
323.00,323.00,4.38,969.00,262.00,,41.10,4950.00,yse,no
323.00,323.00,4.38,969.00,262.00,,41.10,4830.00,yse,no
324.00,324.00,4.38,972.00,262.00,,80.30,7481.00,yse,no
144.00,144.00,6.36,432.00,618.00,,25.40,2572.00,yse,no
144.00,144.00,6.36,432.00,618.00,,40.50,2808.00,yse,no
144.00,144.00,6.36,432.00,618.00,,40.50,2765.00,yse,no
144.00,144.00,6.36,432.00,618.00,,77.00,3399.00,yse,no
211.00,211.00,6.36,633.00,618.00,,25.40,3920.00,yse,no
211.00,211.00,6.36,633.00,618.00,,40.50,4428.00,yse,no
211.00,211.00,6.36,633.00,618.00,,40.50,4484.00,yse,no
211.00,211.00,6.36,633.00,618.00,,77.00,5758.00,yse,no
319.00,319.00,6.36,957.00,618.00,,25.40,6320.00,yse,no
319.00,319.00,6.36,957.00,618.00,,41.10,7780.00,yse,no
318.00,318.00,6.36,954.00,618.00,,41.10,7473.00,yse,no
319.00,319.00,6.36,957.00,618.00,,85.10,10357.00,yse,no
120.00,120.00,6.47,360.00,835.00,,25.40,2819.00,yse,no
120.00,120.00,6.47,360.00,835.00,,40.50,2957.00,yse,no
120.00,120.00,6.47,360.00,835.00,,40.50,2961.00,yse,no
119.00,119.00,6.47,357.00,835.00,,77.00,3318.00,yse,no
175.00,175.00,6.47,525.00,835.00,,25.40,4210.00,yse,no
175.00,175.00,6.47,525.00,835.00,,40.50,4493.00,yse,no
175.00,175.00,6.47,525.00,835.00,,40.50,4542.00,yse,no
175.00,175.00,6.47,525.00,835.00,,77.00,5366.00,yse,no
265.00,265.00,6.47,795.00,835.00,,25.40,6546.00,yse,no
264.00,264.00,6.47,792.00,835.00,,41.10,7117.00,yse,no
265.00,265.00,6.47,795.00,835.00,,41.10,7172.00,yse,no
265.00,265.00,6.47,795.00,835.00,,80.30,8990.00,yse,no
210.00,210.00,5.48,630.00,294.00,,39.10,3183.00,yse,no
211.00,211.00,5.48,633.00,294.00,,91.10,4773.00,yse,no
210.00,210.00,4.50,630.00,277.00,,39.10,2713.00,yse,no
211.00,211.00,4.50,633.00,277.00,,91.10,4371.00,yse,no
211.00,211.00,8.83,633.00,536.00,,39.10,5898.00,yse,no
211.00,211.00,8.83,633.00,536.00,,91.10,7008.00,yse,no
204.00,204.00,5.95,612.00,540.00,,39.10,4026.00,yse,no
204.00,204.00,5.95,612.00,540.00,,91.10,5303.00,yse,no
180.00,180.00,9.45,540.00,825.00,,39.10,6803.00,yse,no
180.00,180.00,9.45,540.00,825.00,,91.10,7402.00,yse,no
180.00,180.00,6.60,540.00,824.00,,39.10,5028.00,yse,no
180.00,180.00,6.60,540.00,824.00,,91.10,5873.00,yse,no
200.00,200.00,2.50,1190.00,270.00,,58.30,2260.00,yse,no
200.00,200.00,2.50,2340.00,270.00,,58.30,2305.00,yse,no
100.00,100.00,1.90,300.00,404.00,,121.60,1209.00,yse,no
100.00,100.00,1.90,300.00,404.00,,121.60,1220.00,yse,no
100.00,100.00,1.90,300.00,404.00,,121.60,1190.00,yse,no
100.00,100.00,1.90,300.00,404.00,,121.60,1220.00,yse,no
100.00,100.00,1.90,900.00,404.00,,121.60,1013.00,yse,no
100.00,100.00,1.90,900.00,404.00,,121.60,1010.00,yse,no
150.00,150.00,3.00,675.00,324.40,,52.60,1516.00,yse,no
150.00,150.00,3.00,900.00,324.40,,52.60,1599.00,yse,no
249.60,249.60,3.70,750.00,324.30,,40.40,3131.00,yse,no
70.00,70.00,5.00,210.00,701.00,,21.00,1367.00,yse,no
100.00,100.00,5.00,300.00,701.00,,21.00,1934.00,yse,no
125.00,125.00,5.00,375.00,701.00,,21.00,2348.00,yse,no
150.00,150.00,5.00,450.00,701.00,,21.00,2828.00,yse,no
110.00,110.00,5.00,330.00,701.00,,54.50,2203.00,yse,no
110.00,110.00,5.00,330.00,701.00,,54.50,2234.00,yse,no
140.00,140.00,5.00,420.00,701.00,,54.50,2942.00,yse,no
140.00,140.00,5.00,420.00,701.00,,54.50,2840.00,yse,no
170.00,170.00,5.00,510.00,701.00,,54.50,3118.00,yse,no
170.00,170.00,5.00,510.00,701.00,,54.50,3243.00,yse,no
180.00,180.00,5.00,570.00,701.00,,54.50,3882.00,yse,no
180.00,180.00,5.00,570.00,701.00,,54.50,3856.00,yse,no
101.00,203.00,8.28,607.00,488.38,,43.20,3090.00,yse,no
119.00,183.00,8.28,541.00,488.38,,43.20,3300.00,yse,no
122.00,182.00,8.28,541.00,488.38,,55.30,3380.00,yse,no
150.00,150.00,8.28,453.00,488.38,,43.20,3500.00,yse,no
150.00,152.00,8.28,451.00,488.38,,55.30,3575.00,yse,no
100.00,120.00,5.70,361.00,514.53,,43.20,1960.00,yse,no
100.00,120.00,5.70,360.00,514.53,,55.30,2100.00,yse,no
121.00,182.00,5.70,540.00,514.53,,43.20,2485.00,yse,no
122.00,181.00,5.70,540.00,514.53,,55.30,2710.00,yse,no
103.00,121.00,7.69,363.00,423.20,,43.20,2545.00,yse,no
101.00,120.00,7.69,358.00,423.20,,55.30,2730.00,yse,no
119.00,179.00,7.69,542.00,423.20,,43.20,3130.00,yse,no
120.00,180.00,7.69,545.00,423.20,,55.30,3150.00,yse,no
101.60,101.60,3.00,1000.00,483.90,,25.00,718.88,yse,no
120.00,120.00,3.50,1000.00,401.00,,25.00,1164.16,yse,no
150.00,150.00,3.50,1000.00,405.00,,25.00,1516.26,yse,no
150.00,150.00,3.50,1500.00,405.00,,25.00,1330.13,yse,no
74.04,74.04,4.91,285.00,762.00,,100.00,1636.00,yse,no
72.87,72.87,4.88,285.00,762.00,,100.00,1755.00,yse,no
99.56,99.56,4.91,360.00,762.00,,100.00,2520.00,yse,no
99.20,99.20,4.93,360.00,762.00,,100.00,2632.00,yse,no
124.43,124.43,4.93,435.00,762.00,,100.00,3023.00,yse,no
124.94,124.94,4.94,435.00,762.00,,100.00,2962.00,yse,no
149.99,149.99,4.92,510.00,762.00,,100.00,4115.00,yse,no
149.87,149.87,4.92,510.00,762.00,,100.00,3968.00,yse,no
149.77,149.77,4.93,1514.00,762.00,,113.00,5164.00,yse,no
149.37,149.37,4.94,1514.00,762.00,,113.00,4833.00,yse,no
149.58,149.58,4.95,1514.00,762.00,,113.00,5085.00,yse,no
199.01,199.01,4.92,660.00,762.00,,113.00,5184.00,yse,no
198.71,198.71,4.92,660.00,762.00,,113.00,5604.00,yse,no
198.92,198.92,4.91,1514.00,762.00,,113.00,7478.00,yse,no
198.99,198.99,4.92,1514.00,762.00,,113.00,7506.00,yse,no
198.96,198.96,4.94,1514.00,762.00,,113.00,6460.00,yse,no
120,120,5,430,761,,20.34,1835,yse,no
170,170,5,580,761,,20.34,2831,yse,no
220,220,5,730,761,,20.34,3609,yse,no
270,270,5,880,761,,20.34,3950,yse,no
65,65,3,250,350,,79,502,yse,no
75,75,3,250,370,,79,684,yse,no
75,65,3,250,370,,52,568,yse,no
65,75,3,250,350,,52,434,yse,no
150,150,8,450,779,200,152.3,6536,yse,no
150,150,8,450,779,200,157.2,6715,yse,no
150,150,8,450,779,200,147,6616,yse,no
150,150,8,450,779,200,164.1,7276,yse,no
150,150,8,450,779,200,148,6974,yse,no
150,150,12,450,756,200,152.3,8585,yse,no
150,150,12,450,756,200,157.2,8452,yse,no
150,150,12,450,756,200,147,8687,yse,no
150,150,12,450,756,200,164.1,8730,yse,no
150,150,12,450,756,200,148,8912,yse,no
150,150,12.5,450,446,201,152.3,5953,yse,no
150,150,12.5,450,446,201,157.2,5911,yse,no
150,150,12.5,450,446,201,147,6039,yse,no
150,150,12.5,450,446,201,164.1,6409,yse,no
150,150,12.5,450,446,201,148,6285,yse,no
197,197,6.4,600,437.88,200,26.58,2730,yse,no
198.5,198.5,6.1,600,437.88,200,25.81,3010,yse,no
199.5,199.5,10.1,600,381.68,200,24.47,3900,yse,no
150,150,8,450,779,200,152.3,6536,yse,no
150,150,8,450,779,200,157.2,6715,yse,no
150,150,8,450,779,200,147,6616,yse,no
150,150,8,450,779,200,164.1,7276,yse,no
150,150,8,450,779,200,148,6974,yse,no
150,150,12,450,756,199,152.3,8585,yse,no
150,150,12,450,756,199,157.2,8452,yse,no
150,150,12,450,756,199,147,8687,yse,no
150,150,12,450,756,199,164.1,8730,yse,no
150,150,12,450,756,199,148,8912,yse,no
150,150,12.5,450,446,201,152.3,5953,yse,no
150,150,12.5,450,446,201,157.2,5911,yse,no
150,150,12.5,450,446,201,147,6039,yse,no
150,150,12.5,450,446,201,164.1,6409,yse,no
150,150,12.5,450,446,201,148,6285,yse,no
100,150,4,300,270.84,210,40.41,912,yse,no
100,150,4,300,270.84,210,90.58,1188.5,yse,no
200,200,6,695,485,217,38,3488,yse,no
200,200,6,695,485,217,38,3452,yse,no
200,200,6,695,485,217,80.5,4921,yse,no
200,200,6,695,485,217,80.5,4973,yse,no
200,200,6,695,485,217,112.1,6060,yse,no
200,200,6,695,485,217,112.1,6298,yse,no
200,200,6,695,485,217,112.1,6218,yse,no
250,250,2.5,750,338,207,25.5,1993,yse,no
250,250,2.5,750,338,207,25.5,2020,yse,no
250,250,2.5,750,338,207,50.8,3190,yse,no
250,250,2.5,750,338,207,51.2,3150,yse,no
250,250,2.5,750,342,207,67,4080,yse,no
250,250,2.5,750,342,207,67,4040,yse,no
190,190,2.5,570,342,207,67,2480,yse,no
190,190,2.5,570,342,207,67,2430,yse,no
250,250,2.5,750,270,203,58.3,3495,yse,no
190,190,2.5,570,270,203,58.3,2140,yse,no
249,250.4,2.5,750,234.3,208,50.1,3409,yse,no
128.2,129.1,2.5,390,234.3,208,54.8,1150,yse,no
120,120,5,500,304,,47,1440,yse,no
120,120,5,500,438,,46,1690,yse,no
120,120,5,500,327,,96,2040,yse,no
120,120,5,500,439,,96,2240,yse,no
120,120,8,500,323,,39,1550,yse,no
120,120,8,500,300,,46,1670,yse,no
120,120,8,500,376,,47,1990,yse,no
120,120,8,500,323,,103,2270,yse,no
120,120,8,500,379,,103,2680,yse,no
120,120,8,500,379,,39,1800,yse,no
120,120,8,500,390,,80,2300,yse,no
120,120,8,500,379,,80,2290,yse,no
120,120,8,500,404,,92,1380,yse,no
200.3,100.5,1.98,400,413,210,56,1980,yse,no
200.5,100.5,2.97,402,392,201,56,2160,yse,no
300,300,6,1050,414,,10,3428,yse,no
400,400,6,1400,414,,10,4452,yse,no
300,300,6,1050,369,,40,6298,yse,no
400,400,6,1400,369,,40,8802,yse,no
60,60,1.87,180,282,201.5,81,382,yse,no
60,60,1.87,180,282,201.5,81,350,yse,no
100,100,1.87,300,282,201.5,81,860,yse,no
100,100,1.87,300,282,201.5,81,840,yse,no
150,150,1.87,450,282,201.5,81,1662,yse,no
150,150,1.87,450,282,201.5,81,1740,yse,no
200,200,1.87,600,282,201.5,81,2890,yse,no
200,200,1.87,600,282,201.5,81,2920,yse,no
250,250,1.87,750,282,201.5,60,3304,yse,no
250,250,1.87,750,282,201.5,60,3400,yse,no
60,60,2,180,404,207,50.9,318,yse,no
60,60,2,180,404,207,50.9,322,yse,no
100,100,2,300,404,207,50.9,770,yse,no
100,100,2,300,404,207,50.9,772,yse,no
150,150,2,450,404,207,50.9,1300,yse,no
150,150,2,450,404,207,50.9,1420,yse,no
200,200,2,600,404,207,50.9,1990,yse,no
200,200,2,600,404,207,50.9,2054,yse,no
250,250,2,750,404,207,50.9,3100,yse,no
250,250,2,750,404,207,50.9,2965,yse,no
60,60,2,180,404,207,81,422,yse,no
60,60,2,180,404,207,81,406,yse,no
150,150,2,450,404,207,81,2060,yse,no
150,150,2,450,404,207,81,1980,yse,no
110,110,5,330,750,,28,1836,yse,no
110,110,5,330,750,,28,1832,yse,no
100,100,4.9,300,668.8,,89.2,1800.3,yse,no
100,100,4.9,300,668.8,,100.3,2003.8,yse,no
100,100,5.8,300,646.2,,100.3,2220.5,yse,no
100,100,5.8,300,646.2,,111.3,2391.2,yse,no
100,100,5.8,300,646.2,,128.1,2573.3,yse,no
100,100,6.8,300,599.5,,89.2,2209.4,yse,no
100,100,6.8,300,599.5,,100.3,2294.7,yse,no
100,100,6.8,300,599.5,,111.3,2368.9,yse,no
100,100,6.8,300,599.5,,128.1,2492.1,yse,no
100,100,10,300,458.6,,89.2,2206.1,yse,no
100,100,10,300,458.6,,111.3,2297.7,yse,no
100,100,10,300,458.6,,128.1,2498.5,yse,no
100,100,14.2,300,468.6,,89.2,3106.7,yse,no
100,100,14.2,300,468.6,,111.3,3119.5,yse,no
100,100,14.2,300,468.6,,128.1,3274.3,yse,no
100,100,18.5,300,444.6,,128.1,3441.4,yse,no
