,h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN)
b (mm),0.8589431859181348,0.06639246088015602,-0.01894487617103069,-0.020093743621760484,-0.14956351036505972,0.5237339174152362
h (mm),,0.13578742905336974,-0.012646485568402137,0.05978423330080422,-0.07113883884254113,0.6098065621292772
t (mm),,,-0.12174753565989038,0.4146678444713468,0.41625219115295903,0.6281154547787059
L (mm),,,,0.06362892934172838,-0.059252811366829715,-0.16997900313291425
fy (MPa),,,,,0.5109081349326745,0.5588688828930602
fc (MPa),,,,,,0.5175136132800005
