,b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN)
count,728.0,728.0,728.0,728.0,728.0,728.0,728.0
mean,-0.026827815521018473,-0.05597072622252871,-0.021086681427784675,0.04256084201630677,0.023711962151133758,0.01852334509938987,2117.363145604396
std,0.9735291073516983,0.9581814543383544,0.9793271368339937,1.0153793182960253,1.0069936507687414,1.0057999935593627,1734.1196621143629
min,-1.7566785291780487,-1.766626395866981,-1.7286114625881934,-0.979161304537206,-1.6910444019630602,-1.3526519472926777,105.40000000000009
25%,-0.6237929156857871,-0.736279168015269,-0.6961658031178756,-0.6098966472101082,-0.6422721655459028,-0.6883004445522796,950.0
50%,-0.05782214461194454,-0.28973403908739315,-0.10812066663695552,-0.40795503773435154,-0.3402910546709235,-0.28878360904066736,1605.5
75%,0.5090926978064746,0.18367371399518823,0.20161303120414004,0.5519022809052735,0.4659635328582198,0.45921578745386266,2574.9750000000004
max,3.9077495382832597,3.3667106857513702,4.331395669085411,4.098227733710389,2.5063764441756464,3.092463561952168,8912.0
