,b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),et (mm),eb (mm),N Test (kN)
count,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0,353.0
mean,162.02521246458923,139.71473087818697,4.512804532577904,1845.052124645892,387.1831728045326,58.53195467422097,39.95252124645893,36.83637393767706,1259.3760056657225
std,42.39706470358884,46.09334906295375,1.6770016224791136,1121.3209517443063,119.12896506143775,31.684818648938506,38.208733423373765,40.10834608221439,1020.9414537562477
min,76.2,76.2,1.9,330.0,242.0,18.759999999999998,0.8999999999999986,-24.999999999999993,156.3499999999999
25%,148.3,100.0,3.63,780.0,316.6,31.87,19.999999999999996,15.0,560.0
50%,150.0,130.0,4.18,1831.0,340.0,48.1,30.0,30.0,964.0
75%,195.0,150.2,5.0,2600.0,438.36,85.06,50.0,50.0,1597.0
max,323.0,323.0,12.5,4910.0,761.0,183.0,300.0,300.0,7136.0
