b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
-0.9963959351102503,-0.7360421664864443,-1.1498595814838664,-0.751744563447191,-0.010632844051376272,-0.12561547291999736,770.0,967
-0.9963959351102503,-0.7360421664864443,-1.1498595814838664,1.7940781922709694,-0.9662549393497915,-1.3565882335818815,240.0,623
-1.3619147533392952,-1.0912188259710456,-1.3336124447752478,-0.8211760931485953,-0.7337590759204821,-0.6673638761452765,353.0,56
-1.4579095944903577,-1.3638796958784165,-0.7016818661390337,0.9493279142372162,0.25740749975183774,-0.09250862605623027,343.0,824
-0.07336861635003568,-0.7360421664864443,-0.029415293121784876,1.0476892479808724,-0.15164537274784967,0.4492397771690489,1862.3,861
0.11123684740200725,-0.2875867883493213,-0.25350415079420113,-0.5434499743429778,0.5196208795593298,0.6779779918641665,2674.0,91
-0.06598439779995385,0.16086858978780177,-0.7016818661390337,-0.6353310319811696,-0.0805564120000408,0.027879907993831766,2300.0,948
-0.6271850076061645,-0.37727786397674584,0.5801063997471876,-0.6823130337457866,-0.4936881592967336,-1.172995719155537,1117.2,176
1.0342641661622218,1.237161497316897,0.1946735645506314,-0.7170287985964888,2.005496698468451,-0.6944512963065405,2520.0,986
-0.06044623388739288,0.173425340375641,1.0551747780127099,3.055417648513149,-0.6614464527335714,-0.6161987491740001,1400.0,461
-0.5164217293549387,-0.26964857322383634,-0.7016818661390337,-0.6823130337457866,-0.6166370996064688,-0.15270289308126128,1114.0,911
0.829721312324958,1.038406073726524,0.15433757016959654,0.6530867208445574,2.0754202664171153,1.7434165182072157,7478.0,809
-0.02721725041202495,0.20571412760151406,-0.5627467743821356,-0.5723797783852297,-1.5023356269562196,1.6109891307521473,2124.0,157
-0.9963959351102503,-0.7360421664864443,-0.25350415079420113,-0.6360253472781837,-0.9674203321489359,-0.6824124429015342,1019.0,213
1.0527247125374262,1.255099712442382,0.8041952574196038,-0.3663995736043967,1.236337451033141,-0.8930923774891428,3920.0,655
