b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
-0.9963959351102503,-0.7360421664864443,-1.1498595814838664,-0.6360253472781837,-0.7063723451405882,-0.6824124429015342,588.0,186
-0.6271850076061645,-0.37727786397674584,0.1946735645506314,-0.5203061311091763,-0.45930907172197366,1.2317652484944521,2040.0,362
0.38814504303007163,0.6093239679249248,0.8534948061075351,-0.4913763270669246,2.5007886381048245,-0.43862566145015863,4542.0,669
-0.07336861635003568,0.16086858978780177,-1.418766210690766,-0.17314848260215454,-0.9361295354919086,-0.978568236664687,711.96,539
1.5880805574183507,-0.37727786397674584,-0.8585440665097251,-0.2657238555373604,-0.38297584337801477,-0.9954226314316955,1140.0,589
-0.07576848737881216,0.1585366218214888,0.15881934732304476,-0.5087342094922757,2.0754202664171153,1.3521537825445142,3968.0,803
-0.9963959351102503,-0.7360421664864443,0.1498557930161483,-0.751744563447191,1.5323472220158207,1.0271047406093468,1800.3,987
-0.5359899085126553,-0.2886630812568504,0.1677829016299416,-0.5955236216190312,2.0754202664171153,1.3521537825445142,2962.0,801
0.11123684740200725,-0.2768238592740304,-0.7554631919804137,-0.5434499743429778,-0.8782677830143887,0.10613245512637214,2030.0,130
-0.4425795438541215,-0.19789571272189665,-0.25350415079420113,-0.6475972688950844,0.5196208795593298,0.027879907993831766,1988.0,75
0.794277063284566,1.003964700685593,0.8221223660333972,-0.40458691494016913,0.18678469612368656,-0.8575777599443746,2730.0,841
-0.9963959351102503,-0.7360421664864443,-1.1946773530183497,-0.057429266433147254,-0.010632844051376272,2.002251866414849,1010.0,694
0.0890841917517623,-0.6571140199343105,0.12744690724890637,-0.5434499743429778,-0.3410217026088161,-0.17076117318877063,1820.0,510
-0.9963959351102503,-0.7360421664864443,0.1946735645506314,-0.6360253472781837,-0.01412902244880963,-0.6824124429015342,1294.0,204
-0.9963959351102503,-0.7360421664864443,-1.1498595814838664,1.7940781922709694,-0.9662549393497915,-0.6523153093890187,342.0,621
