b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
100.0,100.0,2.0,400.0,284.6,32.4,588.0,186
120.0,120.0,5.0,500.0,327.0,96.0,2040.0,362
175.0,175.0,6.47,525.0,835.0,40.5,4542.0,669
150.0,150.0,1.4,800.0,245.17,22.56,711.96,539
240.0,120.0,2.65,720.0,340.1,22.0,1140.0,589
149.87,149.87,4.92,510.0,762.0,100.0,3968.0,803
100.0,100.0,4.9,300.0,668.8,89.2,1800.3,987
124.94,124.94,4.94,435.0,762.0,100.0,2962.0,801
160.0,125.6,2.88,480.0,255.1,58.6,2030.0,130
130.0,130.0,4.0,390.0,495.0,56.0,1988.0,75
197.0,197.0,6.4,600.0,437.88,26.58,2730.0,841
100.0,100.0,1.9,900.0,404.0,121.6,1010.0,694
158.8,104.4,4.85,480.0,347.3,49.4,1820.0,510
100.0,100.0,5.0,400.0,403.4,32.4,1294.0,204
100.0,100.0,2.0,2500.0,240.0,33.4,342.0,621
250.0,250.0,1.87,750.0,282.0,60.0,3304.0,963
100.0,100.0,4.25,300.0,284.5,19.8,667.0,228
150.0,100.0,4.5,1855.0,379.8,63.0,1737.5,854
162.3,98.5,2.0,480.0,305.1,58.6,1545.0,515
250.0,250.0,8.0,500.0,379.0,33.0,4870.0,230
101.7,101.7,2.32,300.0,145.0,36.1,415.0,152
150.0,100.0,5.0,100.0,340.0,38.7,1300.0,558
140.0,140.0,5.86,420.0,321.1,29.3,2009.0,182
200.0,200.0,3.0,600.0,303.5,58.5,2458.0,628
200.0,150.0,1.4,800.0,245.17,22.56,881.62,543
220.0,170.0,5.8,660.0,300.0,74.7,3684.0,70
150.0,150.0,12.5,450.0,446.0,148.0,6285.0,840
200.0,200.0,3.0,2310.0,303.5,58.5,2045.0,635
100.0,100.0,5.8,300.0,646.2,128.1,2573.3,991
200.0,200.0,5.86,2600.0,321.1,16.8,2082.5,336
160.0,80.0,4.0,480.0,495.0,77.6,1878.0,501
152.3,152.3,3.31,456.0,148.0,74.4,1566.0,156
75.0,75.0,3.0,1770.0,450.0,79.0,414.0,822
195.0,130.0,2.65,2340.0,340.1,22.0,890.0,581
150.0,100.0,4.5,1855.0,379.8,84.0,2196.4,864
150.0,100.0,4.5,1855.0,379.8,63.0,1669.2,855
265.0,265.0,6.47,795.0,835.0,41.1,7117.0,265
124.24,124.24,4.92,3512.0,762.0,113.0,1196.0,788
200.0,200.0,3.0,2314.0,303.5,46.8,2258.0,423
181.0,122.0,5.7,540.0,514.53,55.3,2710.0,725
150.0,150.0,1.4,800.0,245.17,35.3,973.8,546
150.0,100.0,4.5,1855.0,379.8,29.0,1344.8,847
114.3,114.3,9.63,406.4,254.07,32.13,2442.07,528
151.0,151.0,4.31,1550.0,245.54,35.4,1250.0,442
100.0,100.0,2.0,400.0,284.6,32.4,656.6,187
143.2,143.2,2.03,420.0,305.1,58.6,1990.0,108
160.0,160.0,5.0,330.0,750.0,30.0,2868.0,981
200.0,100.0,5.0,2000.0,360.0,33.4,1242.0,395
265.0,265.0,6.47,795.0,835.0,25.4,6546.0,671
319.0,319.0,6.36,957.0,618.0,85.1,10357.0,662
100.0,100.0,1.9,300.0,404.0,121.6,1220.0,690
149.7,149.7,6.92,1550.0,292.31,25.9,1700.0,445
147.2,147.2,4.31,2050.0,245.54,35.4,1150.0,447
120.0,120.0,2.65,360.0,340.0,20.1,640.0,596
100.0,100.0,2.29,300.0,194.2,32.0,498.0,223
120.0,120.0,8.0,500.0,376.0,47.0,1990.0,938
200.0,200.0,6.0,695.0,485.0,38.0,3488.0,899
360.0,240.0,2.65,1440.0,340.1,22.0,2250.0,574
176.5,136.3,2.91,1980.0,319.3,68.5,2283.0,431
150.0,150.0,12.0,450.0,756.0,157.2,8452.0,875
149.3,149.3,3.63,450.0,279.9,41.8,1771.0,60
149.3,149.3,3.63,448.0,283.6,31.7,1785.0,138
270.0,270.0,5.0,880.0,761.0,20.34,3950.0,817
150.0,100.0,4.5,1855.0,379.8,29.0,1367.6,850
