b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
100.0,100.0,2.0,300.0,404.0,50.9,770.0,967
100.0,100.0,2.0,2500.0,240.0,10.0,240.0,623
80.2,80.2,1.59,240.0,279.9,32.9,353.0,56
75.0,65.0,3.0,1770.0,450.0,52.0,343.0,824
150.0,100.0,4.5,1855.0,379.8,70.0,1862.3,861
160.0,125.0,4.0,480.0,495.0,77.6,2674.0,91
150.4,150.0,3.0,400.6,392.0,56.0,2300.0,948
120.0,120.0,5.86,360.0,321.1,16.1,1117.2,176
210.0,210.0,5.0,330.0,750.0,32.0,2520.0,986
150.7,150.7,6.92,3590.0,292.31,34.6,1400.0,461
126.0,126.0,3.0,360.0,300.0,50.0,1114.0,911
198.92,198.92,4.91,1514.0,762.0,113.0,7478.0,809
152.5,152.5,3.31,455.0,148.0,108.6,2124.0,157
100.0,100.0,4.0,400.0,239.8,32.4,1019.0,213
211.0,211.0,6.36,633.0,618.0,25.4,3920.0,655
150.0,150.0,12.5,450.0,446.0,157.2,5911.0,880
99.9,99.9,4.0,301.0,333.0,46.08,830.0,317
101.0,101.0,9.6,300.0,400.0,74.88,2000.0,309
319.0,319.0,6.36,957.0,618.0,85.1,10357.0,255
76.0,76.0,3.09,228.0,199.0,108.6,514.0,148
215.0,215.0,4.38,645.0,262.0,41.1,2424.0,644
160.1,119.4,2.01,480.0,305.1,49.4,1420.0,135
210.0,210.0,4.5,630.0,277.0,39.1,2714.0,270
120.0,120.0,5.0,500.0,438.0,46.0,1690.0,933
211.0,211.0,4.5,633.0,277.0,91.1,4372.0,271
127.0,127.0,2.13,914.4,484.72,44.82,1601.36,348
100.0,100.0,5.8,300.0,646.2,100.3,2220.5,989
175.0,175.0,6.47,525.0,835.0,77.0,5366.0,263
144.0,144.0,6.36,432.0,618.0,40.5,2765.0,653
200.0,200.0,3.0,2313.0,303.5,46.8,2173.0,422
130.0,100.0,5.8,390.0,300.0,92.0,1779.0,69
198.0,198.0,1.66,794.0,192.4,25.6,1310.0,4
175.0,175.0,6.47,525.0,835.0,25.4,4210.0,667
100.0,100.0,2.0,2503.0,240.0,33.5,342.0,414
