b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
100.0,100.0,2.0,400.0,284.6,32.4,705.6,189
220.0,170.0,5.8,660.0,300.0,74.7,3717.0,71
211.0,211.0,6.36,633.0,618.0,77.0,5758.0,658
150.0,150.0,12.0,450.0,756.0,148.0,8912.0,835
140.5,140.5,2.0,420.0,305.1,58.6,1780.0,110
120.0,90.0,2.93,600.0,293.5,34.3,825.0,595
100.0,100.0,4.2,302.0,333.0,27.76,680.0,313
125.0,125.0,5.0,375.0,701.0,21.0,2348.0,706
149.2,149.2,6.92,3583.0,292.31,35.4,1350.0,460
140.0,140.0,3.84,2600.0,330.1,29.3,1323.0,342
99.0,99.0,7.72,396.0,238.3,38.0,1100.0,47
260.0,260.0,7.1,4000.0,413.0,92.4,7536.0,359
135.0,90.0,2.65,540.0,340.1,22.0,552.0,588
150.0,100.0,4.5,1855.0,379.8,29.0,1320.2,849
150.0,150.0,8.0,450.0,779.0,147.0,6616.0,828
150.31,150.31,4.92,2512.0,762.0,113.0,3988.0,777
148.6,148.6,3.67,448.0,283.6,31.7,1433.0,141
74.16,74.16,4.89,3512.0,762.0,113.0,410.0,783
150.0,100.0,5.0,200.0,340.0,39.6,1200.0,561
180.0,180.0,9.45,540.0,825.0,91.1,7402.0,684
100.0,100.0,2.2,300.0,339.4,21.4,510.0,225
76.2,76.2,3.35,1727.2,324.05,35.85,355.86,530
130.0,100.0,5.8,390.0,300.0,92.0,1854.0,68
144.0,144.0,6.36,432.0,618.0,25.4,2572.0,651
161.0,126.2,2.98,480.0,255.1,49.4,1580.0,120
100.0,100.0,1.87,300.0,282.0,81.0,840.0,958
150.0,90.0,3.0,2256.0,320.0,33.4,738.0,409
60.0,60.0,2.0,180.0,404.0,50.9,322.0,966
152.4,101.8,4.32,635.0,413.0,26.0,1144.0,376
200.0,200.0,6.16,600.0,781.0,119.0,6645.0,280
120.0,80.0,5.0,200.0,362.6,39.1,950.0,552
60.0,60.0,2.0,180.0,404.0,81.0,422.0,975
200.0,200.0,5.86,600.0,321.1,9.41,2058.0,184
150.0,90.0,3.0,2253.0,320.0,10.0,491.0,406
100.0,100.0,2.0,2504.0,240.0,10.0,261.0,415
120.0,120.0,8.0,500.0,379.0,103.0,2680.0,940
101.3,101.3,4.97,300.0,347.3,49.4,1310.0,92
160.8,102.7,2.04,480.0,305.1,49.4,1080.0,505
100.0,100.0,2.0,400.0,284.6,32.4,745.0,188
150.0,100.0,4.5,1855.0,379.8,70.0,1889.2,858
72.87,72.87,4.88,285.0,762.0,100.0,1755.0,797
150.0,150.0,3.5,2500.0,405.0,25.0,1198.25,741
101.6,101.6,3.18,914.4,330.96,28.82,676.13,352
324.0,324.0,4.38,972.0,262.0,80.3,7481.0,650
200.6,99.6,3.56,1800.0,289.0,44.0,1461.0,527
197.0,197.0,1.55,797.0,192.4,27.7,1413.0,1
148.0,148.0,4.38,444.0,262.0,40.5,1414.0,233
124.12,124.12,4.93,1512.0,762.0,113.0,3748.0,763
199.0,199.0,2.91,793.0,256.4,25.8,1546.0,20
180.0,180.0,6.3,1000.0,397.0,92.4,4060.0,356
305.0,305.0,5.8,1220.0,471.0,110.0,11568.0,287
170.0,170.0,5.0,510.0,701.0,54.5,3118.0,712
150.0,150.0,4.5,2700.0,334.8,28.8,1285.1,756
203.0,101.0,8.28,607.0,488.38,43.2,3090.0,716
200.0,200.0,5.0,600.0,227.0,24.0,2061.0,50
199.9,125.9,2.9,1829.0,319.3,68.5,2303.0,433
305.0,305.0,6.1,1220.0,660.0,110.0,12307.0,285
211.0,211.0,8.83,633.0,536.0,39.1,5898.0,679
180.0,180.0,9.45,540.0,825.0,39.1,6803.0,683
200.0,200.0,2.0,600.0,404.0,50.9,1990.0,971
200.0,100.0,5.0,2000.0,360.0,33.4,1242.0,603
100.0,100.0,2.29,300.0,194.2,32.0,497.4,222
108.0,108.0,4.0,320.0,495.0,77.6,1824.0,87
130.0,130.0,2.65,780.0,340.1,22.0,739.0,572
151.4,151.4,4.77,1085.0,316.6,68.5,2597.0,427
100.0,100.0,4.25,300.0,284.5,19.8,666.0,229
140.0,140.0,3.84,420.0,330.1,8.97,921.6,172
100.0,100.0,2.0,2500.0,240.0,33.5,350.0,411
211.0,211.0,6.36,633.0,618.0,25.4,3920.0,248
144.0,144.0,6.36,432.0,618.0,40.5,2808.0,652
100.0,100.0,5.0,400.0,403.4,32.4,1244.6,208
172.7,133.2,5.08,480.0,347.3,58.6,2700.0,133
150.0,100.0,4.5,1855.0,379.8,84.0,2083.5,868
120.0,120.0,8.0,500.0,379.0,80.0,2290.0,371
76.0,76.0,4.0,2700.0,498.38,28.8,247.3,749
149.0,149.0,3.59,448.0,283.6,31.7,1370.0,140
150.0,90.0,3.0,2250.0,320.0,33.4,625.0,617
101.6,101.6,3.0,2500.0,483.9,25.0,471.29,733
124.39,124.39,4.89,1512.0,762.0,113.0,3560.0,764
180.0,100.0,5.8,480.0,300.0,56.0,1947.0,472
120.0,120.0,8.0,500.0,379.0,31.0,1680.0,372
323.0,323.0,4.38,969.0,262.0,80.3,7481.0,243
306.0,306.0,3.0,900.0,300.0,38.0,4495.0,917
73.6,73.6,4.96,1512.0,762.0,113.0,1572.0,759
200.0,200.0,3.0,604.0,303.5,46.8,2550.0,327
143.1,143.1,3.02,420.0,255.1,44.9,1150.0,115
323.0,323.0,4.38,969.0,262.0,41.1,4830.0,242
150.7,150.7,4.89,3100.0,316.6,68.5,1627.0,429
120.0,120.0,3.5,2000.0,401.0,25.0,899.65,736
100.0,100.0,5.0,400.0,403.4,32.4,1294.0,207
142.0,142.0,5.08,420.0,347.3,49.4,2250.0,96
101.6,101.6,3.0,1500.0,483.9,25.0,691.38,731
149.72,149.72,4.94,2512.0,762.0,113.0,3938.0,775
195.0,130.0,2.65,2340.0,340.1,22.0,625.0,584
149.7,149.7,4.31,4096.0,245.54,36.5,950.0,463
100.0,100.0,2.0,2506.0,240.0,10.0,265.0,417
200.0,150.0,0.7,480.0,245.17,22.56,795.32,541
120.0,120.0,6.47,360.0,835.0,77.0,3318.0,259
150.0,150.0,3.5,2000.0,405.0,25.0,1307.61,740
149.1,149.1,5.06,420.0,347.3,58.6,1700.0,114
63.0,63.0,4.0,2700.0,517.49,28.8,154.7,746
125.0,125.0,4.0,300.0,342.59,46.67,1159.2,893
149.0,149.0,1.47,596.0,246.7,37.4,1000.0,13
100.0,100.0,3.0,400.0,288.2,32.4,882.0,198
149.3,149.3,2.02,2550.0,217.48,25.9,680.0,448
140.0,140.0,5.86,420.0,321.1,8.7,1342.6,180
120.0,120.0,8.0,500.0,379.0,103.0,2680.0,368
151.6,151.6,6.92,1050.0,292.31,25.9,1735.0,439
100.0,100.0,5.0,300.0,701.0,21.0,1934.0,705
215.0,215.0,4.38,645.0,262.0,41.1,2393.0,238
126.0,126.0,3.0,360.0,300.0,50.0,1114.0,813
141.4,141.4,5.07,420.0,347.3,49.4,2280.0,97
