b (mm),h (mm),t (mm),L (mm),fy (MPa),fc (MPa),N Test (kN),original_index
100.2,100.2,2.18,300.0,300.0,25.7,609.0,300
151.0,151.0,2.02,1550.0,217.48,34.6,800.0,440
150.1,149.8,2.0,400.1,413.0,56.0,2200.0,946
160.0,160.0,5.0,330.0,750.0,30.0,2242.0,983
210.0,210.0,4.5,630.0,277.0,39.1,2713.0,677
149.8,149.8,4.27,2700.0,412.0,31.9,1356.0,332
130.0,100.0,5.8,390.0,300.0,74.7,1601.0,66
210.0,210.0,5.0,330.0,750.0,32.0,3483.0,985
200.3,200.3,4.35,601.0,323.0,29.6,2230.0,301
195.0,130.0,2.65,780.0,340.1,22.0,880.0,579
162.7,100.7,2.97,480.0,255.1,49.4,1080.0,525
110.0,110.0,5.0,330.0,750.0,28.0,1836.0,979
140.0,140.0,4.0,2101.0,366.0,10.0,716.0,400
180.0,180.0,6.6,540.0,824.0,91.1,5875.0,279
204.0,204.0,5.95,612.0,540.0,91.1,5305.0,275
120.0,120.0,2.65,360.0,340.0,36.0,812.0,599
180.0,100.0,5.8,450.0,300.0,56.0,1815.0,468
249.6,249.6,3.7,750.0,324.3,40.4,3131.0,701
100.2,100.2,2.18,300.0,300.0,25.7,411.0,292
150.0,150.0,8.0,450.0,779.0,164.1,7276.0,872
163.8,102.2,2.93,480.0,255.1,58.6,1680.0,517
200.0,100.0,5.0,2000.0,360.0,10.0,1022.0,605
120.0,80.0,5.0,200.0,341.0,40.5,920.0,551
100.0,100.0,14.2,300.0,468.6,111.3,3119.5,1000
300.5,300.5,6.1,902.0,395.0,26.5,5102.0,302
125.0,125.0,3.2,3000.0,443.0,94.0,1144.0,389
100.0,100.0,5.0,400.0,403.4,32.4,1313.0,210
100.0,100.0,7.78,398.0,238.3,38.0,1050.0,48
200.0,200.0,2.93,793.0,256.4,27.6,1764.0,17
150.0,150.0,3.0,900.0,324.4,52.6,1599.0,700
142.1,142.1,3.02,420.0,255.1,44.9,1400.0,99
120.0,120.0,8.0,500.0,364.0,80.0,2300.0,370
190.0,190.0,2.5,570.0,270.0,58.3,2140.0,928
180.0,180.0,9.45,540.0,825.0,39.1,6805.0,276
120.0,120.0,3.84,2600.0,330.1,29.3,980.0,339
100.0,100.0,10.0,300.0,458.6,89.2,2206.1,996
180.0,120.0,7.69,545.0,423.2,55.3,3150.0,729
100.0,100.0,3.0,2700.0,441.19,28.8,405.0,751
120.0,120.0,6.47,360.0,835.0,40.5,2957.0,664
100.1,100.1,2.18,300.0,300.0,53.7,851.0,303
250.0,250.0,2.5,750.0,338.0,25.5,1993.0,919
100.0,100.0,4.0,400.0,239.8,32.4,980.0,214
100.4,100.4,2.05,300.0,348.7,130.8,1575.0,886
130.0,130.0,4.0,390.0,495.0,56.0,1963.0,74
70.0,70.0,5.0,210.0,701.0,21.0,1367.0,704
124.6,124.6,4.93,2512.0,762.0,113.0,2823.0,772
124.41,124.41,4.92,3512.0,762.0,113.0,1535.0,787
200.0,200.0,3.0,600.0,303.5,46.8,2458.0,323
199.0,199.0,1.66,796.0,246.7,25.8,1065.0,11
120.0,120.0,4.0,360.0,495.0,58.4,1657.0,83
76.2,76.2,3.35,1422.4,324.05,34.03,385.22,531
74.41,74.41,4.95,3512.0,762.0,113.0,469.0,781
220.0,220.0,5.0,730.0,761.0,20.34,3609.0,816
120.0,120.0,3.84,360.0,330.1,28.2,1078.0,170
175.0,175.0,6.47,525.0,835.0,40.5,4493.0,668
167.9,137.1,5.1,480.0,347.3,58.6,2600.0,132
160.1,81.0,4.18,480.0,550.0,65.7,1880.0,485
120.0,120.0,8.0,500.0,404.0,92.0,1380.0,944
99.0,99.0,4.9,398.0,294.9,37.1,960.0,38
76.2,76.2,3.35,508.0,324.05,40.85,505.76,534
246.0,246.0,3.0,720.0,300.0,38.0,3095.0,914
120.0,120.0,4.0,360.0,495.0,58.4,1701.0,82
